name,link,cost for 2,cuisines,ratings,reviews,address
"mehta magic food Restaurant, Paldi",https://www.zomato.com/ahmedabad/mehta-magic-food-paldi,250,North Indian,2.9,25," 405, Kuva Kochram Gam, Near Rathore Bhavan, Ellisbridge, Paldi, Ahmedabad"
"bhavya point Restaurant, Subhash Bridge",https://www.zomato.com/ahmedabad/bhavya-point-subhash-bridge,400,"Fast Food, South Indian",2.9,22," Nandanvan Complex, RTO Circle, Subhash Bridge, Ahmedabad"
"food ikon Restaurant, Bodakdev",https://www.zomato.com/ahmedabad/food-ikon-bodakdev,400,"Japanese, Chinese, Wraps",2.9,15," Opposite Rajpath Club, Iscon Mandir, S.G. Highway, Bodakdev, Ahmedabad"
"bite by bite Restaurant, Shahibagh",https://www.zomato.com/ahmedabad/bite-by-bite-shahibagh,300,"Street Food, Fast Food, Beverages",2.9,11," Shop 2, Under Subash Bridge, River Front Road East, Shahibagh, Ahmedabad"
"desi thath garden restaurant Restaurant, Chandkheda",https://www.zomato.com/ahmedabad/desi-thath-garden-restaurant-chandkheda,250,"Gujarati, North Indian",NEW,," Sarkhej - Gandhinagar Highway, Visat, Near Hometown, Chandkheda, Ahmedabad"
"kanpur mithai house Restaurant, Rakhial",https://www.zomato.com/ahmedabad/kanpur-mithai-house-rakhial,200,Mithai,2.9,7," 65/2/3, Kumbhai Chawl, Gomtipur, Rakhial, Ahmedabad"
"southern fork Restaurant, Chandkheda",https://www.zomato.com/ahmedabad/southern-fork-chandkheda,450,North Indian,2.9,12," F-2/231/8, Dev Business Hub, Near Vitthal Complex, Visat Gandhi Nagar Highway, Chandkheda, Ahmedabad"
"dabi coffee bar Restaurant, Satellite",https://www.zomato.com/ahmedabad/dabi-coffee-bar-satellite,300,"Fast Food, Beverages",2.9,15," Next to Karnavati Club, Satellite"
"am pm maggi point Restaurant, Naranpura",https://www.zomato.com/ahmedabad/am-pm-maggi-point-naranpura,400,Fast Food,2.9,11," Pratiksha Apartment, Sola Road, Naranpura, Ahmedabad"
"treat restaurant Restaurant, Navrangpura",https://www.zomato.com/ahmedabad/treat-restaurant-navrangpura,600,"North Indian, Chinese, Fast Food",2.9,6," 2, Ground Floor, Aditya Arcade, Navrangpura, Ahmedabad"
"chat chaat Restaurant, Bodakdev",https://www.zomato.com/ahmedabad/chat-on-chaat-bodakdev,250,Street Food,2.9,7," SBR Social, Beside Sattva Vikas School, Sindhu Bhavan Road, Bodakdev, Ahmedabad"
"nonveg ka tadka Restaurant, Mani Nagar",https://www.zomato.com/ahmedabad/nonveg-ka-tadka-mani-nagar,"1,000",Chinese,2.9,16," Shop 7, Shalimar Theater Ground, Mani Nagar, Ahmedabad"
"daily doze cafe Restaurant, Thaltej",https://www.zomato.com/ahmedabad/daily-doze-cafe-thaltej,450,"Cafe, Beverages",2.9,4," Shop 1, Raja Palace, Near Atulya Bhavan, Thaltej, Ahmedabad"
"kim kens Restaurant, Vejalpur",https://www.zomato.com/ahmedabad/kim-kens-vejalpur,300,North Indian,2.9,8," Shrinandnagar, Near Vejalpur Bus Stop, Vejalpur, Ahmedabad"
"tastebuds Restaurant, Naroda",https://www.zomato.com/ahmedabad/tastebuds-naroda,450,"Bakery, Desserts",2.9,11," A 403, Satkar Status, Near Galaxy, Under Bridge ITI, Indicape Road, Naroda, Ahmedabad"
"new prince bhajipav chinese Restaurant, Kankaria",https://www.zomato.com/ahmedabad/new-prince-bhajipav-chinese-kankaria,200,"Street Food, Chinese",2.9,4," 17, Zoo Stall, Kankaria Lake, Kankaria, Ahmedabad"
"gokul bhojanalya Restaurant, Hansol",https://www.zomato.com/ahmedabad/gokul-bhojanalya-hansol,200,North Indian,2.9,4," Shop 1, New Anand Shopping Center, Near Hotel Kabir Residency, Sardar Nagar, Hansol, Ahmedabad"
"rb beer snacks cafe Restaurant, Vastrapur",https://www.zomato.com/ahmedabad/rb-beer-snacks-cafe-vastrapur,250,"North Indian, Fast Food",2.9,4," 106, First Floor, Advait Complex, Opposite Shoam Tower, Vastrapur, Ahmedabad"
"lovely sandwich centre Restaurant, Kalupur",https://www.zomato.com/ahmedabad/lovely-sandwich-centre-kalupur,200,Fast Food,2.9,4," Gate 3, CBN 30, New Cloth Market, Kalupur, Ahmedabad"
"3 star fry center Restaurant, Gota",https://www.zomato.com/ahmedabad/3-star-fry-center-gota,400,"North Indian, Mughlai",2.9,4," Near Charodi Bus Stand, Gota, Ahmedabad"
"kaka kathiyawadi Restaurant, Airport Gandhinagar Highway",https://www.zomato.com/ahmedabad/kaka-kathiyawadi-airport-gandhinagar-highway-gandhinagar,400,"North Indian, Gujarati",2.8,495," 104, Radhe Square, Reliance Cross Road, Kudasan, Gandhinagar"
"rk egg eatery Restaurant, Vastrapur",https://www.zomato.com/ahmedabad/r-k-egg-eatery-vastrapur,450,"Fast Food, North Indian",2.8,304," A 8, Ground Floor, Himalaya Arcade, Vastrapur, Ahmedabad"
"pomos pizza Restaurant, Gurukul",https://www.zomato.com/ahmedabad/pomos-pizza-gurukul,550,"Italian, Pizza",2.8,195," 24, Abhinav Colony, 1st Floor, Drive In Road, Gurukul, Ahmedabad"
"khana delivery Restaurant, Paldi",https://www.zomato.com/ahmedabad/khana-delivery-paldi,400,"Chinese, North Indian",2.8,192," G-10, Sahjanand Plaza, Bhatta, Paldi, Ahmedabad"
