name,link,cost for 2,cuisines,ratings,reviews,address
"ambika bhaji pav Restaurant, Bapunagar",https://www.zomato.com/ahmedabad/ambika-bhaji-pav-bapunagar,150,Street Food,NEW,," Shop 4, Opposite Bapu Nagar BST Bus Stop, Bapunagar, Ahmedabad"
"nasto Restaurant, Airport Gandhinagar Highway",https://www.zomato.com/ahmedabad/nasto-airport-gandhinagar-highway-gandhinagar,400,"Fast Food, Street Food, Chinese",NEW,," Shop 16, Radhe Square Building, Kudasan, Reliance Crossroads, Airport Gandhinagar Highway, Gandhinagar"
"maggi wala Restaurant, Satellite",https://www.zomato.com/ahmedabad/maggi-wala-satellite,300,"North Indian, Street Food, Beverages",-,," Chitrakut Apartment, Satellite, Ahmedabad"
"fit food proteins Restaurant, Nikol",https://www.zomato.com/ahmedabad/fit-food-proteins-nikol,250,North Indian,-,," B-104, Gajanand Home, Near Victoria Residency, Pashawanath Township, Krishna Nagar, Nikol, Ahmedabad"
"drashti live puff Restaurant, Nikol",https://www.zomato.com/ahmedabad/drashti-live-puff-nikol,300,Fast Food,NEW,," Shop 5, Angan Residency, Near Dipak School, Opposite Divya Jivan Flat, Nikol, Ahmedabad"
"chilly china Restaurant, Sarkhej",https://www.zomato.com/ahmedabad/chilly-china-sarkhej,350,"Chinese, Fast Food, Beverages",-,," Survey 71, Plot 9-10, Aabad Arcade, Opposite Al Asbab Park, Makarba, Sarkhej, Ahmedabad"
"south dosa Restaurant, Naroda",https://www.zomato.com/ahmedabad/south-dosa-naroda,300,South Indian,-,," 1, Avani Icon, Haridarshan Cross Road, Naroda, Ahmedabad"
"karnavati dabeli center Restaurant, Nava Vadaj",https://www.zomato.com/ahmedabad/karnavati-dabeli-center-nava-vadaj,200,"Fast Food, Street Food",-,," Shop 13, Ashirwad Complex, Opposite Shalby Hospital, Haridarsan Cross Road, Nava Vadaj, Ahmedabad"
"shree danu krupa tiffin service Restaurant, Ghatlodia",https://www.zomato.com/ahmedabad/shree-danu-krupa-tiffin-service-ghatlodia,200,Gujarati,NEW,," C/106, Preet Homes, Janta Nagar Road, Ghatlodia, Ahmedabad"
"khana parcel Restaurant, Paldi",https://www.zomato.com/ahmedabad/khana-parcel-paldi,400,"Chinese, North Indian",-,," G 10, Sahajananad Plaza, Paldi, Ahmedabad"
"meals bowl Restaurant, Thaltej",https://www.zomato.com/ahmedabad/meals-bowl-thaltej,500,Healthy Food,-,," 9th Harmony Icon, 100 Feet, Hebatpur Road, Near Baghban Party Plot, Cross Road, Thaltej, Ahmedabad"
"jay kalyan pauva corner Restaurant, Satellite",https://www.zomato.com/ahmedabad/jay-kalyan-pauva-corner-1-satellite,150,"Street Food, South Indian",NEW,," Shop 4, Opposite Star Bazar, Iscon Park, Satellite, Ahmedabad"
"bherunath maggi pasta Restaurant, Navrangpura",https://www.zomato.com/ahmedabad/bherunath-maggi-pasta-navrangpura,300,"Fast Food, Italian",-,," Opposite H.l College, Navrangpura, Ahmedabad"
