name,link,cost for 2,cuisines,ratings,reviews,address
"mast mahadev dhaba Restaurant, Ana Sagar Lake",https://www.zomato.com/ajmer/mast-mahadev-dhaba-ana-sagar-lake,s. 300,"Fast Food, North Indian",3.8,79," Vaishali Nagar, Ana Sagar Lake, Ajmer"
"status by silver leaf Restaurant, Ana Sagar Lake",https://www.zomato.com/ajmer/status-by-silver-leaf-ana-sagar-lake,s. 600,North Indian,3.8,58," Opposite City Power House, Jaipur Road, Ana Sagar Lake, Ajmer"
"yummy tummy food zone  Restaurant, Ana Sagar Lake",https://www.zomato.com/ajmer/yummy-tummy-the-food-zone-ana-sagar-lake,s. 100,Fast Food,3.8,37," Near Santoshi Mata Mandir, Opposite Reliance Fresh, Vaishali Nagar, Ajmer"
"gully boy Restaurant, Ana Sagar Lake",https://www.zomato.com/ajmer/gully-boy-ana-sagar-lake,s. 200,"Pizza, Burger, Sandwich, Chinese",3.8,38, Near premprakash ashram opp CR apartment vaishali nagar Ajmer
"lassi shop Restaurant, Hathi Khera",https://www.zomato.com/ajmer/lassi-shop-hathi-khera,s. 150,"Fast Food, Beverages",3.8,49," Shop 14, Opposite Punjab National Bank, Kutchery Road, Rajasthan, Hathi Khera, Ajmer"
"jmd fast food Restaurant, Dhola Bhata Colony",https://www.zomato.com/ajmer/jmd-fast-food-dhola-bhata-colony,s. 100,"Fast Food, Chinese",3.8,45," Near Pani Ki Tanki, Dhola Bhata Road, Dhola Bhata Colony, Ajmer"
"royal kababs currys Restaurant, Dhola Bhata Colony",https://www.zomato.com/ajmer/royal-kababs-currys-dhola-bhata-colony,s. 300,"Mughlai, North Indian",3.8,54," Near Street. Paul School, Nagra, Nasirabad Road, Dhola Bhata Colony, Ajmer"
"jai hind restaurant Restaurant, Railway Quarters ",https://www.zomato.com/ajmer/jai-hind-restaurant-railway-quarters,s. 250,"South Indian, Chinese",3.8,47," Opposite Railway Station, Madar Gate, Railway Quarters Ajmer"
"l r venus cafe Restaurant, Dhola Bhata Colony",https://www.zomato.com/ajmer/l-r-venus-cafe-dhola-bhata-colony,s. 100,Fast Food,3.8,38," Opposite St Pauls School, Mayo Link Road, Alwar Gate Dhola Bhata Colony, Ajmer"
"shri krishna pav bhaji Restaurant, Ana Sagar Lake",https://www.zomato.com/ajmer/shri-krishna-pav-bhaji-ana-sagar-lake,s. 200,"Fast Food, Street Food",3.8,35," Opposite ICICI Bank, Kutchery Road, Ana Sagar Lake, Ajmer"
"uncles cafe Restaurant, Ana Sagar Lake",https://www.zomato.com/ajmer/the-uncles-cafe-ana-sagar-lake,s. 200,"Pizza, Sandwich, Italian, Beverages",3.8,19," Shop G-2, US Chamber, Sagar Vihar Colny, Vaishali Nagar Road, Ana Sagar Lake, Ajmer"
"ujair chicken corner Restaurant, Ana Sagar Lake",https://www.zomato.com/ajmer/ujair-chicken-corner-ana-sagar-lake,"s. 1,000","BBQ, North Indian",3.8,21," 756, 26, Longiya Mohalla, Ana Sagar Lake, Ajmer"
"beach bay Restaurant, Kotra",https://www.zomato.com/ajmer/beach-bay-kotra,s. 200,"Chinese, Continental, North Indian",3.8,29," 1st Floor, Hina Bar & Restaurant, BK Kaul, Near Mittal Hospital, Kotra, Ajmer"
"hot shots Restaurant, Ana Sagar Lake",https://www.zomato.com/ajmer/hot-shots-ana-sagar-lake,"s. 1,500","Chinese, Fast Food",3.8,27," Jhulelal Mandir Ke Saman, Chour Siya Vas Road, Vaishali Nagar, Ana Sagar Lake, Ajmer"
"hotel cross lane Restaurant, Ana Sagar Lake",https://www.zomato.com/ajmer/hotel-cross-lane-ana-sagar-lake,,"North Indian, Continental",3.8,17," 445/10, Near City Power House, Jaipur Road, Ana Sagar Lake, Ajmer"
"chawlas Restaurant, Ana Sagar Lake",https://www.zomato.com/ajmer/chawlas-ana-sagar-lake,s. 300,Biryani,4.0,98," Shop 10, First Floor, Khailand Market, PR Marg, Ana Sagar Lake, Ajmer"
"habibi restaurant Restaurant, Somalpur",https://www.zomato.com/ajmer/habibi-restaurant-somalpur,s. 200,Fast Food,4.0,61," C-212, Chandrawardayi Nagar, Somalpur, Ajmer"
"naya thikana restaurant Restaurant, Ana Sagar Lake",https://www.zomato.com/ajmer/naya-thikana-restaurant-ana-sagar-lake,s. 250,North Indian,4.0,79," Near Bajrang Garh, Ana Sagar Lake, Ajmer"
"shiv mahima rajasthani tadka Restaurant, Ana Sagar Lake",https://www.zomato.com/ajmer/shiv-mahima-rajasthani-tadka-ana-sagar-lake,s. 200,Rajasthani,4.0,78," Near Sheetla Mata Mandir, Amar Plaza, Ana Sagar Lake, Ajmer"
"dynamite delicious Restaurant, Ana Sagar Lake",https://www.zomato.com/ajmer/dynamite-delicious-1-ana-sagar-lake,s. 200,"Burger, Fast Food, Chinese, Beverages",4.0,41," Shop 2, Indra Complex, Gali 2, Baldev Nagar, Makarwali Road, Ana Sagar Lake, Ajmer"
"laxmi confectioners Restaurant, Railway Quarters ",https://www.zomato.com/ajmer/laxmi-confectioners-railway-quarters,s. 150,Mithai,4.0,65," Opposite Railway Station, Near Madar Gate, Railway Quarters Ajmer"
"inbox Restaurant, Pal Bhichala",https://www.zomato.com/ajmer/inbox-pal-bhichala,s. 250,"Fast Food, Burger, Sandwich, Pizza, North Indian, Salad, Continental, Lebanese",3.9,119," Opposite Data In, Srinagar Road, Pal Bhichala, Ajmer"
"crazy tales Restaurant, Ana Sagar Lake",https://www.zomato.com/ajmer/crazy-tales-ana-sagar-lake,s. 500,"Salad, Chinese, Sandwich, Beverages, North Indian, Burger, Desserts, Pizza",3.9,110," Near M.P.S. School, Rati Dang, Ana Sagar Lake, Ajmer"
"kha lo Restaurant, Ana Sagar Lake",https://www.zomato.com/ajmer/kha-lo-ana-sagar-lake,s. 150,"Burger, Beverages, Fast Food, Sandwich, Italian, Pizza, Chinese",3.9,179," Near Janta Colony, Vaishali Nagar, Ana Sagar Lake, Ajmer"
"mamajis chicken point Restaurant, Ana Sagar Lake",https://www.zomato.com/ajmer/mamajis-chicken-point-ana-sagar-lake,s. 450,"North Indian, Roast Chicken, BBQ, Mughlai, Kebab, Awadhi",3.9,127," Behind Rajasthan Opticals, Near Bikaner Mishtaan Bhandaar, Vaishali Nagar,  Ajmer"
"raj thali Restaurant, Adarsh Nagar",https://www.zomato.com/ajmer/raj-thali-adarsh-nagar,s. 150,North Indian,3.9,99," 123 Raj Tiffin Centre, Adarsh Nagar, Ajmer"
"pizzeria by mango masala Restaurant, Ana Sagar Lake",https://www.zomato.com/ajmer/pizzeria-by-mango-masala-ana-sagar-lake,s. 500,"Fast Food, Italian, Beverages",3.9,111, 429/A/11 Vinod Bhawan Kutchery Road
"love cafetaria Restaurant, Ana Sagar Lake",https://www.zomato.com/ajmer/love-cafetaria-ana-sagar-lake,s. 100,"Beverages, South Indian, Fast Food, Sandwich, Pizza, Chinese, Burger",3.9,114," Yadav Complex, Makarwali Road, Vaishali Nagar, Ana Sagar Lake, Ajmer"
"kesar Restaurant, Kotra",https://www.zomato.com/ajmer/kesar-kotra,s. 500,"Mexican, South Indian, Fast Food, Desserts, Italian, North Indian, Chinese, Rajasthani",3.9,96," HBU Nagar, Kotra, Ajmer"
"karims restaurant Restaurant, Pal Bhichala",https://www.zomato.com/ajmer/karims-restaurant-pal-bhichala,s. 500,Mughlai,3.9,101," 2/10, Amlok Bhawan, Opposite Roadways Bus Stand, Jaipur Road, Pal Bhichala, Ajmer"
"js ks family restaurant cafeteria Restaurant, Ana Sagar Lake",https://www.zomato.com/ajmer/js-ks-family-restaurant-cafeteria-ana-sagar-lake,200,"North Indian, Fast Food",3.5,23," Back Side Of Radhe Shree Garden, Near R.R. Fresh Mart, Vaishali Nagar, Near Ana Sagar Lake, Ajmer"
"hfc Restaurant, Ram Ganj",https://www.zomato.com/ajmer/h-f-c-ram-ganj,200,"Fast Food, Chinese",NEW,, Delivery Only
"lobhasta cafe Restaurant, Kotra",https://www.zomato.com/ajmer/lobhasta-cafe-kotra,200,"Fast Food, Beverages",3.5,10," 33, Gyan Vihar Colony, Kotra, Ajmer"
"hoko fast food corner Restaurant, Pal Bhichala",https://www.zomato.com/ajmer/hoko-fast-food-corner-pal-bhichala,150,"Chinese, Fast Food, Pizza, Burger, Sandwich, Beverages",3.5,17," Sri Nagar Road Opposite Union bank, Near Mridang Cinema, Pal Bhichala, Ajmer"
"go green restaurant Restaurant, Ana Sagar Lake",https://www.zomato.com/ajmer/go-green-restaurant-ana-sagar-lake,300,"North Indian, Chinese, Italian, Beverages",3.5,13," Opposite Nagar Nigam, P R Marg, Ana Sagar Lake, Ajmer"
"gullu di bhatti Restaurant, Kundan Nagar",https://www.zomato.com/ajmer/gullu-di-bhatti-kundan-nagar,250,"North Indian, Chinese, Afghan, Kebab",3.5,20," 191/11, Kundan Nagar, Ajmer"
"duas tandoori junction Restaurant, Dhola Bhata Colony",https://www.zomato.com/ajmer/duas-tandoori-junction-dhola-bhata-colony,350,North Indian,3.5,19," Near Indian Overseas Bank, Nagra, Nasirabad Road, Ajmer"
"chamunda restaurant bar Restaurant, Hathi Khera",https://www.zomato.com/ajmer/chamunda-restaurant-and-bar-hathi-khera,400,North Indian,3.5,20," Foy Sagar Road, Hathi Khera, Ajmer"
