fav,lat,lon,url
,26.4318410000,74.6476900000,https://www.zomato.com/ajmer/kfb-adarsh-nagar
₹500 for two people (approx.) with alcohol,26.4644727810,74.6039003134,https://www.zomato.com/ajmer/black-box-kotra
₹100 for two people (approx.),26.4643584265,74.6393986791,https://www.zomato.com/ajmer/shri-krishna-pav-bhaji-kundan-nagar
"Pizza, Garlic Bread, Chocolate Lava",26.4654100000,74.6363000000,https://www.zomato.com/ajmer/dominos-pizza-ana-sagar-lake
₹300 for two people (approx.),26.4498828000,74.6641209000,https://www.zomato.com/ajmer/the-food-farm-kundan-nagar
₹150 for two people (approx.),26.4992030677,74.6307351440,https://www.zomato.com/ajmer/sabji-wala-panchsheel-nagar
₹200 for two people (approx.),26.4506680000,74.6354800000,https://www.zomato.com/ajmer/goyal-fast-food-kundan-nagar
₹250 for two people (approx.),26.4374370000,74.6591030000,https://www.zomato.com/ajmer/shree-krishna-juice-centre-and-fast-food-adarsh-nagar
,26.4597650015,74.6365637530,https://www.zomato.com/ajmer/hotel-ajmer-tower-ana-sagar-lake
₹300 for two people (approx.),26.4495959000,74.7022125000,https://www.zomato.com/ajmer/funduz-cafe-adarsh-nagar
₹250 for two people (approx.),26.4750400000,74.6491290000,https://www.zomato.com/ajmer/laxmi-restaurant-and-fast-food-police-lines
,26.4206680000,74.6353230000,https://www.zomato.com/ajmer/uncle-anus-kitchen-adarsh-nagar
₹350 for two people (approx.),26.4494856740,74.6498562768,https://www.zomato.com/ajmer/al-afdal-biryani-ana-sagar-lake
₹150 for two people (approx.),26.4653850000,74.6376186000,https://www.zomato.com/ajmer/shree-bhomji-misthan-bhandar-ana-sagar-lake
₹300 for two people (approx.),26.4571920000,74.6374230000,https://www.zomato.com/ajmer/nizams-biryani-railway-quarters
,26.4255190000,74.6339300000,https://www.zomato.com/ajmer/ammo-hammo-ram-ganj
,26.4709700000,74.6079920000,https://www.zomato.com/ajmer/om-ice-cream-kotra
,26.4604895166,74.6278152242,https://www.zomato.com/ajmer/wakil-chaat-bhandar-boraj-kazipura
,26.4149390000,74.6532230000,https://www.zomato.com/ajmer/food-junction-adarsh-nagar
"Pizza Sandwich, White Pasta",26.4207250000,74.6519937000,https://www.zomato.com/ajmer/foodies-adarsh-nagar
₹200 for two people (approx.),26.4690980000,74.6066370000,https://www.zomato.com/ajmer/lobhasta-cafe-kotra
