name,link,cost for 2,cuisines,ratings,reviews,address
"rasoi restaurant hotel prayag Restaurant, Leader Road",https://www.zomato.com/allahabad/rasoi-restaurant-hotel-prayag-leader-road,750,"North Indian, Chinese",3.3,10," 76, Noorullah Road, Leader Road, Allahabad"
"rice dabba Restaurant, Naini",https://www.zomato.com/allahabad/rice-dabba-naini,150,"North Indian, Biryani, South Indian, Fast Food",3.3,9," Shivnagar Devrakh Road, Arail, Naini, Allahabad"
"shree ganesh sweets Restaurant, Dhoomanganj",https://www.zomato.com/allahabad/shree-ganesh-sweets-dhoomanganj,200,Mithai,3.3,8," Jayantipur, Sulem Sarai, Dhoomanganj, Allahabad"
"amrit sweet house Restaurant, Kareli",https://www.zomato.com/allahabad/amrit-sweet-house-kareli,100,Mithai,3.3,12," 179, Attarsuiya, Allahabad"
"paapi pate Restaurant, Kareli",https://www.zomato.com/allahabad/paapi-pate-kareli,300,"North Indian, Chinese, Rolls, Kebab",3.3,8," 425/319, Attar Suiya, Gol Park, Kareli, Allahabad"
"sudha bakers Restaurant, Teliarganj",https://www.zomato.com/allahabad/sudha-bakers-teliarganj,300,Bakery,3.3,9," 8/36, Purana Phaphamau, Allahabad"
"happy foods beverages Restaurant, Civil Lines",https://www.zomato.com/allahabad/happy-foods-and-beverages-civil-lines,120,Biryani,3.3,5," 2, Elgin Road, Civil Lines, Allahabad"
"sai dhosa corner Restaurant, Kareli",https://www.zomato.com/allahabad/sai-dhosa-corner-kareli,200,South Indian,3.3,7," 179, Attarsuiya, Kareli, Allahabad"
"chaudhrys Restaurant, Kareli",https://www.zomato.com/allahabad/chaudhrys-kareli,250,"Biryani, North Indian, Chinese",3.3,6," B-38, Hind Marble Building, Near 16 Market Building, GTB Nagar, Kareli, Allahabad"
"dhashtag Restaurant, Naini",https://www.zomato.com/allahabad/d-hashtag-naini,500,"Chinese, Pizza",3.3,12," D'Hashtag Cafe & Lounge, Near Khan Chauraha, Mahewa, Naini, Allahabad"
"golden plate Restaurant, Civil Lines",https://www.zomato.com/allahabad/golden-plate-civil-lines,400,Indian,3.3,13," Thornhill Road, A. G. Office Chauraha, Civil Lines, Allahabad"
"kalash sweets Restaurant, Meergunj",https://www.zomato.com/allahabad/kalash-sweets-meergunj,400,Desserts,3.3,6," 8 Rambag,  Near Hanumaan Mandir, Allahabad"
"chat pataas eggeteria Restaurant, Rambagh",https://www.zomato.com/allahabad/chat-pataas-eggeteria-rambagh,150,"Rolls, Italian, Fast Food",3.3,11," 301, New Basti, Kydganj, Rambagh, Allahabad"
"vrindavan restaurant food court Restaurant, Naini",https://www.zomato.com/allahabad/vrindavan-restaurant-and-food-court-naini,200,"North Indian, Chinese, Burger, South Indian",3.3,8," Ganpati Nagar Tiraha, Indalpur Road, Near Indalpur Overbridge, Dandi, Naini, Allahabad"
"nidhi bhojanalaya Restaurant, Bairahana",https://www.zomato.com/allahabad/nidhi-bhojanalaya-bairahana,300,North Indian,3.3,11," 298, Old Bairana Road, Bairahana, Allahabad"
"vinayak sai restaurant Restaurant, Dhoomanganj",https://www.zomato.com/allahabad/vinayak-sai-restaurant-dhoomanganj,250,"South Indian, Chinese, Fast Food",3.0,10," 338/A, GT Road, Neemsaria, Gayasddinpur, Uprhar, Transport Nagar, Allahabad, Dhoomanganj, Allahabad"
"rockk onn Restaurant, Colonel Ganj",https://www.zomato.com/allahabad/rockk-onn-colonel-ganj,400,"North Indian, Chinese",3.0,9," 1/6A, Madho Kunj, Katra Road, Near Manglam Furnishing, Colonel Ganj, Allahabad"
"hotel harsh Restaurant, Civil Lines",https://www.zomato.com/allahabad/hotel-harsh-civil-lines,250,North Indian,3.0,7," 118/16, M.G. Marg, Civil Lines, Allahabad"
"marhaba family restuarant Restaurant, Naini",https://www.zomato.com/allahabad/marhaba-family-restuarant-naini,350,"North Indian, Mughlai, Kebab",3.0,6," 9/4, Mahewa- Indalpur Road, Naini, Allahabad"
"pandit ji chat vaat Restaurant, Dhoomanganj",https://www.zomato.com/allahabad/pandit-ji-chat-vaat-dhoomanganj,100,Fast Food,3.0,7," Grand Trunk Road, Mundera Chungi, Next To Ram Chandra Mission Road, Dhoomanganj, Allahabad"
"tasty bite fast food corner Restaurant, Allapur",https://www.zomato.com/allahabad/tasty-bite-fast-food-corner-allapur,300,Fast Food,3.0,9," Matiyara Road, Allapur, Allahabad"
"chinese fast food corner Restaurant, Katra",https://www.zomato.com/allahabad/chinese-fast-food-corner-katra,400,"Fast Food, Chinese",3.0,6," 500/602/2A, Panna Road, Colonel Ganj, Allahabad."
"biryaani tiffin services Restaurant, Teliarganj",https://www.zomato.com/allahabad/biryaani-tiffin-services-teliarganj,150,Biryani,3.0,6," 6/B/1, New Mehdauri, Badri Awas Yojna, Teliarganj, Allahabad"
"nawab restaurant Restaurant, Naini",https://www.zomato.com/allahabad/nawab-restaurant-naini,500,"North Indian, Chinese",3.0,6," Mahewa Khan Chauraha, Near Bank Of Baroda, Naini, Allahabad"
"raju sweets Restaurant, Meergunj",https://www.zomato.com/allahabad/raju-sweets-meergunj,100,"Desserts, Mithai",3.0,4," Main Tarachand Road, Meergunj, Allahabad"
"anshika sweets Restaurant, Dhoomanganj",https://www.zomato.com/allahabad/anshika-sweets-dhoomanganj,200,"Mithai, Desserts",3.0,7," EWS 303, Awas Yojna, Preetam Nagar, Sulem Saria, Dhoomanganj, Allahabad"
"shri ram dhaba Restaurant, Naini",https://www.zomato.com/allahabad/shri-ram-dhaba-naini,150,North Indian,3.0,6," Mirzapur Road, Naini, Allahabad"
"kathi junction Restaurant, Dhoomanganj",https://www.zomato.com/allahabad/kathi-junction-1-dhoomanganj,150,Rolls,3.0,5," 19B, Harwara, Pritam Nagar, Dhoomanganj, Allahabad"
"modern sweet house Restaurant, Meergunj",https://www.zomato.com/allahabad/modern-sweet-house-meergunj,200,"Desserts, Fast Food",3.0,6," Vivekananda Marg, Meergunj, Allahabad"
"utsav foods Restaurant, Chowk",https://www.zomato.com/allahabad/utsav-foods-chowk,150,"Street Food, Fast Food",3.0,6," 14/13, Kotha Parcha, Chowk, Allahabad"
"dinshaws ice cream Restaurant, Leader Road",https://www.zomato.com/allahabad/dinshaws-ice-cream-leader-road,150,"Desserts, Ice Cream",3.3,8," 76, Noorullah Road, Leader Road, Allahabad"
"food food biryani house Restaurant, Kareli",https://www.zomato.com/allahabad/food-food-biryani-house-kareli,200,"Biryani, Mughlai, North Indian",3.3,8," B-32, Kareli Colony, Kareli, Allahabad"
"food junction Restaurant, Teliarganj",https://www.zomato.com/allahabad/food-junction-teliarganj,200,Fast Food,3.3,4," 46/6A/1, Myorabad, Teliarganj, Allahabad"
"delight cakes Restaurant, Bamrouli",https://www.zomato.com/allahabad/delight-cakes-bamrouli,400,"Desserts, Bakery",3.3,7," 57A/15 Shakuntala Kunj, Mundera, Bamrouli, Allahabad"
"natraj restaurant Restaurant, Leader Road",https://www.zomato.com/allahabad/natraj-restaurant-leader-road,400,North Indian,3.3,7," Railway Station, Main Leader Road, Allahabad"
"dilli galiyara Restaurant, Civil Lines",https://www.zomato.com/allahabad/dilli-galiyara-civil-lines,800,"North Indian, South Indian, Chinese",3.2,155," 20-22, 2nd Floor, Vinayak City Centre Mall, Sardar Patel Marg, Civil Lines, Allahabad"
"aagman restaurant Restaurant, Katra",https://www.zomato.com/allahabad/aagman-restaurant-katra,400,North Indian,3.2,71," 174, Old Katra, Katra, Allahabad"
"taste prayagraj Restaurant, Dhoomanganj",https://www.zomato.com/allahabad/taste-of-prayagraj-2-dhoomanganj,300,"Fast Food, North Indian",3.2,48," 449, mundera mandi, gate no. 2, dhoomanganj, allahabad"
"pocket meals Restaurant, Civil Lines",https://www.zomato.com/allahabad/pocket-meals-civil-lines,200,"North Indian, Chinese",3.2,37," Bagga Petrol Pump, Civil Lines, Allahabad"
"kitchen Restaurant, Tagore Town",https://www.zomato.com/allahabad/the-kitchen-tagore-town,250,"Fast Food, North Indian, Chinese",3.2,41," 120/4 javahar lala nehru road George town, Allahabad"
"fast foodious Restaurant, Tagore Town",https://www.zomato.com/allahabad/fast-foodious-tagore-town,300,Fast Food,3.2,35," 47C/Y, Chinta Mani Road, Allahabad"
"bakers table Restaurant, George Town",https://www.zomato.com/allahabad/the-bakers-table-george-town,300,"Desserts, Bakery",3.2,16," 1 B, Amarnath Jha Marg, Opposite Vidya Vahini School, George Town, Allahabad"
"tamboora Restaurant, Civil Lines",https://www.zomato.com/allahabad/tamboora-civil-lines,600,"North Indian, Chinese",3.2,27," 77A/29, LBS Marg, Near Vishal Mega Mart, Civil Lines, Allahabad"
"star family restaurant Restaurant, Dhoomanganj",https://www.zomato.com/allahabad/star-family-restaurant-dhoomanganj,500,"North Indian, Chinese, Fast Food",3.2,30," Sulem Sarai Bazar, Shankar Telars Gali, Dhoomanganj, Allahabad"
"ganga sweets Restaurant, Naini",https://www.zomato.com/allahabad/ganga-sweets-naini,150,Desserts,3.2,28," 28, Mukta Vihar, Mirjapur Road, Naini, Allahabad"
"daawat restaurant Restaurant, Dhoomanganj",https://www.zomato.com/allahabad/daawat-the-restaurant-dhoomanganj,250,"North Indian, Chinese",3.1,21," Shop 41, Super Market Mandi, Samiti, Mundera, Dhoomanganj, Allahabad"
"pizza 100 percent Restaurant, Rajrooppur",https://www.zomato.com/allahabad/pizza-100-percent-rajrooppur,250,"Pizza, Fast Food",3.1,7," G 1, EWS 153, Kalindipuram Colony, Rajrooppur, Allahabad"
"fauji bhojanalaya sweets Restaurant, Katra",https://www.zomato.com/allahabad/fauji-bhojanalaya-sweets-katra,150,"North Indian, South Indian, Chinese",3.1,17," 17/2, KG Marg, Katra, Allahabad"
"prayagraj veg non veg restaurant Restaurant, Dhoomanganj",https://www.zomato.com/allahabad/prayagraj-veg-non-veg-restaurant-dhoomanganj,300,"Chinese, South Indian, Rolls, North Indian",3.1,13," 4th vahini, PAC Gate No.2 , Dhoomanganj, Allahabad"
"chennai express Restaurant, Katra",https://www.zomato.com/allahabad/chennai-express-katra,200,South Indian,NEW,," 43/17 B, Church Lane, Katra, Allahabad"
"hunt bakers Restaurant, Naini",https://www.zomato.com/allahabad/the-hunt-bakers-naini,150,"Bakery, Desserts",3.1,14," Gangotri Road, Opposite Allahabad Agricultural Institute Intermediate College, Naini, Allahabad"
"smog house Restaurant, Naini",https://www.zomato.com/allahabad/smog-house-naini,500,North Indian,3.1,4," Mirzapur Road, Beside Ojas Hospital, Mahuwari, Naini, Allahabad"
"rice bowl kitchen Restaurant, Leader Road",https://www.zomato.com/allahabad/the-rice-bowl-kitchen-leader-road,200,"North Indian, Chinese",3.1,6," 207 R/16/1/70, Minhajpur, Dr. Katju Road, Allahabad"
"rajwada restaurant Restaurant, Civil Lines",https://www.zomato.com/allahabad/rajwada-restaurant-civil-lines,150,Biryani,3.1,10," 25/51, Subhash Chandra Bose Chaurah, Mahatma Gandhi Marg, Civil Lines, Allahabad"
"free time Restaurant, Civil Lines",https://www.zomato.com/allahabad/free-time-civil-lines,100,"Beverages, Juices, Chinese",3.1,9," 22-B, sardar patel marg, civil lines, Allahabad"
"south mouth Restaurant, Civil Lines",https://www.zomato.com/allahabad/south-mouth-civil-lines,500,South Indian,3.1,11," Shop 6, 3rd Floor, Vinayak City Centre Mall, Sardar Patel Marg, Civil Lines, Allahabad, Civil Lines, Allahabad"
"fusion bar restaurant Restaurant, Civil Lines",https://www.zomato.com/allahabad/fusion-bar-restaurant-civil-lines,"1,600","North Indian, Chinese, Fast Food, Bar Food",3.1,4," 3C/7C, Clive Road, Opposite Sangam Place, Civil Lines, Allahabad"
"bfc restaurant Restaurant, Naini",https://www.zomato.com/allahabad/bfc-restaurant-naini,200,"Fast Food, North Indian",3.1,8," Indalpur Road Agriculture, Mahewa East, Naini, Allahabad"
"cafe eighteen sixty six Restaurant, Civil Lines",https://www.zomato.com/allahabad/cafe-eighteen-days-civil-lines,"1,000","Continental, Chinese",3.1,11," J-16, Hotel Allahabad Regency, Tashkand Marg, Civil Lines, Allahabad"
"welcome restaurant Restaurant, Civil Lines",https://www.zomato.com/allahabad/welcome-restaurant-civil-lines,250,Chinese,3.1,5," 13/7E,Clive Road, Nagar Nigam Food Safety Zone-12, Civil Lines, Allahabad"
"tripti bar nawabs restaurant Restaurant, Civil Lines",https://www.zomato.com/allahabad/tripti-bar-nawabs-restaurant-civil-lines,800,"North Indian, Chinese",3.1,6," 15, Elgin Road, Civil Lines, Allahabad"
"feel restaurant Restaurant, Rajrooppur",https://www.zomato.com/allahabad/feel-it-restaurant-rajrooppur,250,"North Indian, Chinese, Fast Food",3.1,5," Jhalwa Chauraha, Sadar, Rajrooppur, Allahabad"
"sajeevans restuarant Restaurant, Naini",https://www.zomato.com/allahabad/sajeevans-restuarant-naini,350,North Indian,3.1,4," NH 35, Dandi, Naugawan, Naini, Allahabad"
"gaya chaat corner Restaurant, Leader Road",https://www.zomato.com/allahabad/gaya-chaat-corner-leader-road,100,Fast Food,3.1,6," Shop 218, Noorullah Road, Leader Road, Allahabad"
"choco pain Restaurant, Naini",https://www.zomato.com/allahabad/choco-pain-naini,150,Bakery,3.1,6," Near Khan Chauraha, Mahewa, Naini, Allahabad"
"maa annapurna bhojanalya Restaurant, Naini",https://www.zomato.com/allahabad/maa-annapurna-bhojanalya-naini,150,North Indian,3.1,7," 223/E, Nayi Bazaar, Naini, Allahabad"
"desi rasoi catters suppliers Restaurant, Katra",https://www.zomato.com/allahabad/desi-rasoi-catters-and-suppliers-katra,200,"Pizza, Rolls, North Indian, Biryani, Desserts",3.1,5," 373/288, New Mumfordganj, Near Fauwara Chauraha, Katra, Allahabad"
"sai sagar chaat corner Restaurant, Tagore Town",https://www.zomato.com/allahabad/sai-sagar-chaat-corner-tagore-town,150,"Fast Food, Street Food",3.1,5," 52/A, J.L.N. Road, Tagore Town, Allahabad"
"chillax restaurant Restaurant, Naini",https://www.zomato.com/allahabad/chillax-restaurant-naini,300,"North Indian, Chinese",3.1,7," Opposite UIT, Beside Sanskar Sadan Boys Hostel, Naini, Allahabad"
"kibriyaz Restaurant, Katra",https://www.zomato.com/allahabad/kibriyaz-katra,700,"North Indian, South Indian",3.1,4," 3/11A, Muir Road, Manmohan Park, Police Line, Katra, Allahabad"
"little china Restaurant, Civil Lines",https://www.zomato.com/allahabad/little-china-civil-lines,500,Chinese,3.1,4," Vinayak City Centre Mall, Sardar Patel Marg, Civil Lines, Allahabad, Civil Lines, Allahabad"
"chaishala Restaurant, Kareli",https://www.zomato.com/allahabad/chaishala-kareli,250,"Tea, Arabian",3.1,5," E Block, Near Luv Kush Ashram, Kareli, Allahabad"
"jai shri ram sweet house Restaurant, Dhoomanganj",https://www.zomato.com/allahabad/jai-shri-ram-sweet-house-dhoomanganj,200,"Mithai, Desserts, Fast Food",3.1,4," Shop 2, A D A Market, Preetam Nagar, Dhoomanganj, Allahabad"
"fresh up fruits juice cafe Restaurant, George Town",https://www.zomato.com/allahabad/fresh-up-fruits-and-juice-cafe-george-town,100,Juices,3.1,4," Office Of The Chief Medical Officer, Stanley Road, Nirupma Colony, Beli Goan, George Town, Allahabad"
"goli vada paav no1 Restaurant, Allapur",https://www.zomato.com/allahabad/goli-vada-paav-no-1-allapur,250,Fast Food,3.1,6," Opposite Old Saket Hospital, Allahpur, Allahabad"
"hotel yash padam continental Restaurant, Civil Lines",https://www.zomato.com/allahabad/hotel-yash-padam-continental-civil-lines,300,"North Indian, South Indian, Beverages",3.4,10," 15/3, Thronhill Road, Civil Lines, Allahabad"
"zayka Restaurant, Dhoomanganj",https://www.zomato.com/allahabad/zayka-1-dhoomanganj,500,"Biryani, Chinese, Mughlai, North Indian",3.4,21," G.T.Road, Sector 5, Transport Nagar, Dhoomanganj, Allahabad"
"appetour frotica Restaurant, Civil Lines",https://www.zomato.com/allahabad/appetour-frotica-civil-lines,300,Fast Food,3.4,11," 10F/8/8, Tashkend Marg, Patrika Chauraha, Civil Lines, Allahabad"
"food village restaurant Restaurant, Rajrooppur",https://www.zomato.com/allahabad/food-village-restaurant-rajrooppur,500,"North Indian, Chinese, Continental",3.4,19," Arya Nagar, Jalwa, Near State Bank of India, Rajrooppur, Allahabad"
"gulmarg mughlai restaurant Restaurant, Meergunj",https://www.zomato.com/allahabad/gulmarg-mughlai-restaurant-meergunj,300,"North Indian, Mughlai",3.4,18," 17 Rambagh, Near Slaughter House, Meergunj, Allahabad"
"hungry birds Restaurant, Civil Lines",https://www.zomato.com/allahabad/hungry-birds-civil-lines,250,"Fast Food, Chinese, South Indian, Pizza",3.4,12," 444, Katka Ganga, Jhunsi, Phulpur Tahsil, Allahabad"
"desi zaiqa Restaurant, Civil Lines",https://www.zomato.com/allahabad/desi-zaiqa-civil-lines,250,"Chinese, North Indian",3.4,13," 30/01C/03, PD Tandon Road, Allahabad"
"sophiya laurance betal shop Restaurant, Civil Lines",https://www.zomato.com/allahabad/sophiya-laurance-betal-shop-civil-lines,100,Paan,3.4,13," 18A, M G Marg, Civil Lines, Allahabad"
"little italy Restaurant, Civil Lines",https://www.zomato.com/allahabad/little-italy-civil-lines,200,Italian,3.4,9, Tandoor Civil Lines Allahabad
"tandoor hotel Restaurant, Leader Road",https://www.zomato.com/allahabad/tandoor-hotel-leader-road,500,"North Indian, Mughlai",3.4,17," Main , Leader Road, Allahabad"
"telugu corner Restaurant, Naini",https://www.zomato.com/allahabad/the-telugu-corner-naini,100,South Indian,3.4,15," Opposite Hideout, Near Mass Communication Gate, Shuats Mah, Naini, Allahabad"
"black forest hotel yugantar banquest Restaurant, Civil Lines",https://www.zomato.com/allahabad/black-forest-hotel-yugantar-banquest-civil-lines,800,"North Indian, Chinese, Continental",3.4,9," 119 C/1, T B Sapru Marg, Civil Lines, Allahabad"
"crossroad restaurant cafe Restaurant, Civil Lines",https://www.zomato.com/allahabad/crossroad-restaurant-cafe-civil-lines,400,"Fast Food, Cafe",3.4,13," 9/19, Maharshi Dayanand Marg, Agnipath Colony, Civil Lines, Allahabad"
"madina hotel Restaurant, Kareli",https://www.zomato.com/allahabad/madina-hotel-kareli,250,North Indian,3.4,12," Islamia College Chauraha, Atala Road, Kareli, Allahabad"
"chawla meals Restaurant, Kareli",https://www.zomato.com/allahabad/chawla-meals-kareli,300,North Indian,3.4,11," 406, Attarsuiya, Kareli, Allahabad"
