url,fav,lat,lon
https://www.zomato.com/allahabad/nehas-breakfast-teliarganj,₹100 for two people (approx.),,
https://www.zomato.com/allahabad/gola-sizzlers-ashok-nagar,"₹1,000 for two people (approx.)",,
https://www.zomato.com/allahabad/lallu-bakers-hut-kareli,₹300 for two people (approx.),25.4296607971,81.8458099365
https://www.zomato.com/allahabad/dinshaws-ice-cream-leader-road,₹150 for two people (approx.),25.4433357694,81.8249578401
https://www.zomato.com/allahabad/tripti-bar-nawabs-restaurant-civil-lines,₹800 for two people (approx.) Without alcohol,25.4572094563,81.8336777017
https://www.zomato.com/allahabad/madhur-milan-sweets-rambagh,₹250 for two people (approx.),25.4277060000,81.9179000000
https://www.zomato.com/allahabad/prayagraj-restaurant-katra,₹200 for two people (approx.),25.4626829000,81.8557043000
https://www.zomato.com/allahabad/fast-food-plaza-naini,₹600 for two people (approx.),25.3766930542,81.8726833910
https://www.zomato.com/allahabad/al-baik-chicken-chowk,₹300 for two people (approx.),25.4386449000,81.8400798000
https://www.zomato.com/allahabad/shree-kanha-sweets-restaurant-george-town,"Dal Makhani, Pizza, Roti, Thali",25.4490299054,81.8545027077
https://www.zomato.com/allahabad/the-second-wife-rambagh,₹500 for two people (approx.),25.4368650000,81.8495330000
https://www.zomato.com/allahabad/rais-chana-chawal-katra,₹200 for two people (approx.),25.4642079062,81.8497260287
https://www.zomato.com/allahabad/goli-vada-pav-no-1-1-civil-lines,₹500 for two people (approx.),25.4304554570,81.8298444897
https://www.zomato.com/allahabad/new-kwality-ice-cream-parlour-civil-lines,₹400 for two people (approx.),25.4598585563,81.8333062157
https://www.zomato.com/allahabad/dosa-plaza-1-civil-lines,"Mysore Masala Dosa, Maharaja Dosa, Mexican Dosa, Filtered Coffee",25.4529845798,81.8327865377
https://www.zomato.com/allahabad/chaurasia-pan-bhandar-rajapur,₹100 for two people (approx.),25.4674380000,81.8442150000
https://www.zomato.com/allahabad/tastoz-naini,₹150 for two people (approx.),25.3775196075,81.8687744141
https://www.zomato.com/allahabad/goli-vada-pav-no-1-kareli,₹200 for two people (approx.),25.4300995000,81.8304626000
https://www.zomato.com/allahabad/netram-mulchand-sons-katra,"Jalebi, Samosa, Kachori Sabzi, Aloo Ki Subzi, Raita, Rasmalai, Urad Dal",25.4646511000,81.7820477000
https://www.zomato.com/allahabad/biryani-house-rajrooppur,₹400 for two people (approx.),25.4362961398,81.7888321728
https://www.zomato.com/allahabad/lucknow-biryani-point-katra,₹350 for two people (approx.),25.4752483368,81.8484802246
https://www.zomato.com/allahabad/el-chico-pastry-shop-civil-lines,"Chocolava Cake, Brownie",25.4505757042,81.8337035179
https://www.zomato.com/allahabad/chat-pataas-eggetaria-civil-lines,₹150 for two people (approx.),25.4545899656,81.8423476070
https://www.zomato.com/allahabad/al-baik-zone-chowk,₹300 for two people (approx.),25.4379636000,81.8304872000
https://www.zomato.com/allahabad/mohit-foods-bairahana,₹150 for two people (approx.),25.4399356842,81.8163223267
https://www.zomato.com/allahabad/kaffe-kona-kareli,₹550 for two people (approx.),25.4264289000,81.8192216000
https://www.zomato.com/allahabad/zaika-biryani-ka-1-colonel-ganj,"Butter Chicken, Chicken Biryani",25.4605390000,81.8563660000
https://www.zomato.com/allahabad/forex-food-centre-kareli,₹200 for two people (approx.),,
https://www.zomato.com/allahabad/uspfc-dhoomanganj,₹200 for two people (approx.),25.4239902000,81.7626495000
https://www.zomato.com/allahabad/hunger-terminator-lukerganj,₹150 for two people (approx.),25.4606271000,81.8372734000
https://www.zomato.com/allahabad/raw-palette-1-civil-lines,₹450 for two people (approx.),25.4509642000,81.8313292000
https://www.zomato.com/allahabad/allahabad-biryani-centre-civil-lines,"Tandoori Chicken, Hyderabadi Chicken Biryani, Chicken Korma, Mutton Biryani",25.4549446106,81.8309326172
https://www.zomato.com/allahabad/ice-cream-works-civil-lines,₹300 for two people (approx.),25.4597880233,81.8388744816
https://www.zomato.com/allahabad/baskin-robbins-1-george-town,₹200 for two people (approx.),25.4533860000,81.8561250000
https://www.zomato.com/allahabad/route-o-bakers-kareli,₹300 for two people (approx.),25.4325390000,81.8289210000
https://www.zomato.com/allahabad/hot-n-cool-naini,"Burgers, Chicken Wrap, Pasta, Fries, Chicken Popcorn, Biryani, Sandwich",25.4100666046,81.8446807861
https://www.zomato.com/allahabad/tow-tiffin-on-the-way-kareli,"Tawa Roti, Thali",25.4280410000,81.8204440000
https://www.zomato.com/allahabad/the-senses-hotel-dps-inn-civil-lines,₹350 for two people (approx.),25.4541453000,81.8267662000
https://www.zomato.com/allahabad/sophiya-laurance-betal-shop-chowk,₹100 for two people (approx.),25.4412290000,81.8354200000
https://www.zomato.com/allahabad/bhojanam-civil-lines,₹200 for two people (approx.),25.4577150000,81.8297090000
https://www.zomato.com/allahabad/moti-mahal-delux-tandoori-trail-1-civil-lines,"Butter Chicken, Dal Makhani, Tandoori Chicken, Chicken Dum Biryani",25.4598222303,81.8356451020
https://www.zomato.com/allahabad/pahalwan-juice-stuff-naini,₹100 for two people (approx.),25.4133926300,81.8448137000
https://www.zomato.com/allahabad/bean-here-ashok-nagar,"Cold Coffee, Waffles, Paneer Sandwich",25.4673269422,81.8226266652
https://www.zomato.com/allahabad/mirchi-360-civil-lines,₹200 for two people (approx.),25.4579630000,81.8544400000
https://www.zomato.com/allahabad/lala-chat-corner-george-town,₹150 for two people (approx.),25.4311980000,81.8326720000
https://www.zomato.com/allahabad/the-little-chef-fast-food-corner-naini,₹250 for two people (approx.),25.3946264000,81.8605803000
https://www.zomato.com/allahabad/rasoi-restaurant-hotel-prayag-leader-road,₹750 for two people (approx.) Without alcohol,25.4430093960,81.8249870092
https://www.zomato.com/allahabad/hashtag-cafe-naini,₹500 for two people (approx.),25.5127920000,81.8523520000
https://www.zomato.com/allahabad/mr-dewsis-platinum-inn-civil-lines,₹500 for two people (approx.),25.4520473480,81.8223037720
https://www.zomato.com/allahabad/jai-shri-bhojnalaya-dhoomanganj,"Tawa Roti, Tandoori Roti",25.4493790000,81.7661130000
https://www.zomato.com/allahabad/burger-games-naini,₹350 for two people (approx.),25.3980900000,81.8706230000
https://www.zomato.com/allahabad/allahabadi-kabab-paratha-civil-lines,₹150 for two people (approx.),25.4491576631,81.8305277824
https://www.zomato.com/allahabad/chicago-pizza-civil-lines,"Chicago Pizza, White Sauce Pasta, Garlic Bread, Cheesy Pizza",25.4520000860,81.8350791559
https://www.zomato.com/allahabad/food-food-biryani-house-kareli,₹200 for two people (approx.),25.4304200000,81.8203300000
https://www.zomato.com/allahabad/jaiswal-dosa-corner-george-town,₹150 for two people (approx.),25.4463609000,81.8517769000
https://www.zomato.com/allahabad/allahabad-kabab-paratha-kareli,"Tandoori Chicken, Kebab Paratha, Salad",25.4311518726,81.8262965977
https://www.zomato.com/allahabad/om-sai-ki-rasoi-civil-lines,₹400 for two people (approx.),25.4510855167,81.8218696117
https://www.zomato.com/allahabad/papa-maan-jao-na-naini,₹200 for two people (approx.),25.4050636000,81.8790043000
https://www.zomato.com/allahabad/h2o-cafe-1-civil-lines,"Chicken Biryani, Coffee, Pizza, Burgers, Strawberry Shake, Maggi",25.4515000000,81.8366670000
https://www.zomato.com/allahabad/nirala-sweet-house-1-kareli,₹250 for two people (approx.),25.4258735000,81.8173259000
https://www.zomato.com/allahabad/kanha-restaurant-dhoomanganj,₹200 for two people (approx.),25.4535022000,81.7823747000
https://www.zomato.com/allahabad/nalanda-hotel-leader-road,₹300 for two people (approx.),25.4439479443,81.8255844712
https://www.zomato.com/allahabad/feel-it-restaurant-rajrooppur,₹250 for two people (approx.),25.4350452423,81.7683792114
https://www.zomato.com/allahabad/nainital-momos-10-civil-lines,"Noodle, Corn Momo, Fried Momo, Chicken Tandoori Momos, Veg Momos, Honey Chilli Potatoes, Soupy Momos",25.4597619897,81.8386418000
https://www.zomato.com/allahabad/helipad-view-restaurant-and-banquet-hall-civil-lines,₹450 for two people (approx.),25.4630810000,81.8422700000
https://www.zomato.com/allahabad/vivek-momos-corner-1-chowk,₹150 for two people (approx.),25.4349911699,81.8430101126
https://www.zomato.com/allahabad/celebrity-bar-hotel-kanhashyam-civil-lines,Full Bar Available,25.4493193279,81.8327463046
https://www.zomato.com/allahabad/mama-pizza-civil-lines,₹300 for two people (approx.),25.4576880000,81.8356190000
https://www.zomato.com/allahabad/kalika-restaurant-teliarganj,₹200 for two people (approx.),25.5259248700,81.8550489000
https://www.zomato.com/allahabad/prabhat-foodies-and-ice-cream-parlour-allapur,₹150 for two people (approx.),25.4578530000,81.8690210000
https://www.zomato.com/allahabad/lazizo-restaurant-cafe-colonel-ganj,₹300 for two people (approx.),25.4626789093,81.8557205200
https://www.zomato.com/allahabad/rice-dabba-naini,₹150 for two people (approx.),25.4050636000,81.8790043000
https://www.zomato.com/allahabad/food-junction-teliarganj,₹200 for two people (approx.),25.4766826630,81.8495788574
https://www.zomato.com/allahabad/royals-kitchen-chowk,₹200 for two people (approx.),25.4396018982,81.8295364380
https://www.zomato.com/allahabad/spicy-hub-restaurant-naini,₹400 for two people (approx.),25.4097988487,81.8448018283
https://www.zomato.com/allahabad/hot-stuff-civil-lines,"Pizza, Noodle, Burgers, Kebab Platter, Hot Chocolate Fudge, Chicken Chowmein, Banana Split",25.4526318946,81.8347324803
https://www.zomato.com/allahabad/sajeevans-restuarant-naini,₹350 for two people (approx.),25.3733141789,81.8409136310
https://www.zomato.com/allahabad/al-baik-in-kareli,₹200 for two people (approx.),25.4303670000,81.8174740000
https://www.zomato.com/allahabad/aryan-familys-delight-civil-lines,"Thali, Noodle, Spring Roll, Hakka Noodles, Butter Chicken, Pizza, Biryani",25.4545369879,81.8348850310
https://www.zomato.com/allahabad/jannat-hotel-kanhashyam-civil-lines,Biryani,25.4495460821,81.8329384178
https://www.zomato.com/allahabad/balaji-rajasthan-misthan-bhandar-katra,₹100 for two people (approx.),25.4700085100,81.8556429818
https://www.zomato.com/allahabad/maharaja-restaurant-katra,₹250 for two people (approx.),25.4658670231,81.8508156762
https://www.zomato.com/allahabad/the-tandoori-flames-foodshala-naini,₹250 for two people (approx.),25.4119200000,81.8438515000
https://www.zomato.com/allahabad/bikanerwala-civil-lines,"Pav Bhaji, Raj Kachori, Chaat, Chole Bhature, Thali, Spring Roll, Dhokla",25.4513358811,81.8326148763
https://www.zomato.com/allahabad/al-habibi-kareli,₹300 for two people (approx.),25.4258550000,81.8169770000
