name,link,cost for 2,cuisines,ratings,reviews,address
"mahaveer dhaba Restaurant, Alwar Locality",https://www.zomato.com/alwar/mahaveer-dhaba-alwar-locality,150,North Indian,3.9,153," Bus Stand Road, Alwar, Alwar Locality, Alwar"
"rajawat hotel Restaurant, Alwar Locality",https://www.zomato.com/alwar/rajawat-hotel-alwar-locality,300,"North Indian, Mughlai",4.1,90," Moti Doongri opposite Prem Pavitra bhojnalaya Alwar, Alwar Locality, Alwar"
"ashokam bhojnalaya Restaurant, Alwar Locality",https://www.zomato.com/alwar/ashokam-bhojnalaya-alwar-locality,200,North Indian,3.9,110," In Front of Agarwal Dharamshala beside Oswal school Alwar, Alwar Locality, Alwar"
"shree mahaveer dhaba Restaurant, Alwar Locality",https://www.zomato.com/alwar/shree-mahaveer-dhaba-1-alwar-locality,150,North Indian,4.0,50," Bus Stand nearby Agarwal Dharamshala ke paas, Alwar Locality, Alwar"
"sai bakers Restaurant, Alwar Locality",https://www.zomato.com/alwar/sai-bakers-1-alwar-locality,200,"Street Food, Bakery, South Indian, Fast Food",4.2,125," Scheme No. 2, Plot No. 10, Shopping Centre, Lajpat Nagar, Alwar, Alwar, Rajasthan, 301001."
"praveen sai bakers fast food Restaurant, Alwar Locality",https://www.zomato.com/alwar/praveen-sai-bakers-fast-food-alwar-locality,350,"South Indian, Chinese, Fast Food, Bakery",4.0,71," 8, Manumarg, Alwar - 301001, Near Gurudwara, Alwar Locality, Alwar"
"mr chop shop Restaurant, Alwar Locality",https://www.zomato.com/alwar/mr-chop-shop-alwar-locality,200,"Rolls, Momos, North Indian, Fast Food",4.0,102," Cross point Mall, Jail Circle, Alwar Locality, Alwar"
"tija Restaurant, Alwar Locality",https://www.zomato.com/alwar/tija-alwar-locality,150,"Beverages, Burger, Sandwich, Street Food, Ice Cream",4.2,123," Nangli Circle, Alwar, Alwar Locality, Alwar"
"baba thakur das sons Restaurant, Alwar Locality",https://www.zomato.com/alwar/baba-thakur-das-sons-1-alwar-locality,200,Mithai,4.4,57," Shop no. 1, Ganpati Tower, Nangli Circle, Alwar, Alwar Locality, Alwar"
"new hindustani pavitra bhojanalya Restaurant, Alwar Locality",https://www.zomato.com/alwar/new-hindustani-pavitra-bhojanalya-alwar-locality,200,North Indian,4.0,45," Bhagat Singh circle Hanuman mandir, alwar, Alwar Locality, Alwar"
"selection point Restaurant, Alwar Locality",https://www.zomato.com/alwar/selection-point-alwar-locality,100,"Fast Food, Rolls, Pizza, Burger, Sandwich",3.9,58," Shop no. 4 Alkapuri Alwar, Alwar Locality, Alwar"
"ice n spices Restaurant, Alwar Locality",https://www.zomato.com/alwar/ice-n-spices-alwar-locality,650,"South Indian, Italian, Indian, Fast Food, Continental, Chinese",4.0,58," Company Bagh Road, Alwar - 301001, Ashok Circle, Nangli Circle, Opposite SBBJ ADB Branch, Alwar Locality, Alwar"
"sai bakers Restaurant, Alwar Locality",https://www.zomato.com/alwar/sai-bakers-alwar-locality,500,"Bakery, Fast Food, Pizza, Desserts, Burger",4.2,63," Opposite Gopal Talkies Alwar, Alwar Locality, Alwar"
"wat cafe Restaurant, Alwar Locality",https://www.zomato.com/alwar/wat-a-cafe-alwar-locality,150,"South Indian, North Indian, Italian, Fast Food, Chinese",3.4,37," 02, Near Manju Hospital, Neb Road, Mungaska, Alwar, Alwar Ward 42, Alwar (Rajasthan), - 301001, Alwar Locality, Alwar"
"dominos pizza Restaurant, Alwar Locality",https://www.zomato.com/alwar/dominos-pizza-alwar-locality,400,"Pizza, Fast Food",3.9,40," Jayanti Mall Nangli Circle Alwar, Alwar Locality, Alwar"
"mahaveer dhaba Restaurant, Alwar Locality",https://www.zomato.com/alwar/mahaveer-dhaba-alwar-locality,150,North Indian,3.9,153," Bus Stand Road, Alwar, Alwar Locality, Alwar"
"rajawat hotel Restaurant, Alwar Locality",https://www.zomato.com/alwar/rajawat-hotel-alwar-locality,300,"North Indian, Mughlai",4.1,90," Moti Doongri opposite Prem Pavitra bhojnalaya Alwar, Alwar Locality, Alwar"
"ashokam bhojnalaya Restaurant, Alwar Locality",https://www.zomato.com/alwar/ashokam-bhojnalaya-alwar-locality,200,North Indian,3.9,110," In Front of Agarwal Dharamshala beside Oswal school Alwar, Alwar Locality, Alwar"
"shree mahaveer dhaba Restaurant, Alwar Locality",https://www.zomato.com/alwar/shree-mahaveer-dhaba-1-alwar-locality,150,North Indian,4.0,50," Bus Stand nearby Agarwal Dharamshala ke paas, Alwar Locality, Alwar"
"sai bakers Restaurant, Alwar Locality",https://www.zomato.com/alwar/sai-bakers-1-alwar-locality,200,"Street Food, Bakery, South Indian, Fast Food",4.2,125," Scheme No. 2, Plot No. 10, Shopping Centre, Lajpat Nagar, Alwar, Alwar, Rajasthan, 301001."
