name,link,cost for 2,cuisines,ratings,reviews,address
"food call Restaurant, Sharda Vihar",https://www.zomato.com/amravati/food-on-call-sharda-vihar,200,"South Indian, North Indian, Fast Food, Chinese",4.2,26," Ambaji Tower, 0, Rajapeth, Amravati - 444605, Near Shivaji Commercial Complex, Opposite Dr Kela Hospital, Ravi Nagar Chowk, Sharda Vihar, Amravati"
"mohinis food square Restaurant, Navsaari",https://www.zomato.com/amravati/mohinis-food-square-navsaari,250,"North Indian, Chinese, Biryani",3.9,21," Shegaon Naka, Navsaari, Amravati"
"hotel up above Restaurant, Maltekedi",https://www.zomato.com/amravati/hotel-up-above-maltekedi,400,"North Indian, Maharashtrian, Biryani",3.7,46," 4th & 5th Floor, Beside Level Mall, Camp, Maltekedi, Amravati"
"sahuji ka dhaba Restaurant, Ambapeth",https://www.zomato.com/amravati/sahuji-ka-dhaba-ambapeth,200,North Indian,4.3,51," Kharkhar Complex, Railway Station, Bus Stand Road, Railway Station Square, Ambapeth, Amravati"
"hotel vandu international Restaurant, Sai Nagar",https://www.zomato.com/amravati/hotel-vandu-international-sai-nagar,300,North Indian,4.3,36," Opposite Rajapeth Police Station, Monalisa Complex, Badnera Road, Sai Nagar, Amravati"
"jazeerah restaurant Restaurant, Ambapeth",https://www.zomato.com/amravati/jazeerah-restaurant-ambapeth,400,"Roast Chicken, North Indian, Biryani",4.0,75," sunderlal chowk, jail road, camp road Amravati, Ambapeth, Amravati"
"new punjabi dhaba restaurant Restaurant, Ambapeth",https://www.zomato.com/amravati/new-punjabi-dhaba-restaurant-ambapeth,200,"North Indian, Maharashtrian, Biryani",4.4,36," Nanda Market, Rajapeth to Dastur Nagar Road, Rajapeth, Amravati - 444601, Behind Bonde Hospital, Ambapeth, Amravati"
"hotel abdullah Restaurant, Ambapeth",https://www.zomato.com/amravati/hotel-abdullah-ambapeth,200,"Biryani, North Indian, Seafood, Chinese",4.9,37," Amravati - 444601, Near Chitra Chowk, Ambapeth, Amravati"
"new eagle restaurant Restaurant, Maltekedi",https://www.zomato.com/amravati/new-eagle-restaurant-maltekedi,300,"North Indian, Maharashtrian, South Indian, Chinese",4.6,54," Railway Station Square, Near Amravati Railway Station, Maltekedi, Amravati"
"khamaz house biryani Restaurant, Maltekedi",https://www.zomato.com/amravati/khamaz-the-house-of-biryani-maltekedi,300,"Biryani, Roast Chicken",4.2,32," Biyani Chowk, Infront of SBI Camp Road, University Road, Amravati"
