name,link,cost for 2,cuisines,ratings,reviews,address
"boston pizza Restaurant, Rani Ka Bagh",https://www.zomato.com/amritsar/the-boston-pizza-rani-ka-bagh,400,"Pizza, Burger, Sandwich, Beverages",3.3,173," Mcleod Road, Opposite St. Francis School, Rani Ka Bagh, Amritsar"
"krishna madhur mishthan bhandar vaishno dhaba Restaurant, Basant Nagar",https://www.zomato.com/amritsar/krishna-madhur-mishthan-bhandar-vaishno-dhaba-basant-nagar,300,"North Indian, Mithai",4.0,163," Near Navjot School, Batala Road, Basant Nagar, Amritsar"
"food village Restaurant, GNDU Area",https://www.zomato.com/amritsar/the-food-village-gndu-area,600,"North Indian, Fast Food, Chinese",3.8,178," Shop 5, Ground Floor, GNDU Shopping Complex, GNDU Area, Amritsar"
"all about pizzas Restaurant, Rani Ka Bagh",https://www.zomato.com/amritsar/all-about-pizzas-rani-ka-bagh,300,"Pizza, Fast Food, Beverages",3.9,138," Opposite Uppal Neuro Hospital, Rani Ka Bagh, Amritsar"
"bread talk by subhash juice bar Restaurant, Basant Nagar",https://www.zomato.com/amritsar/bread-talk-by-subhash-juice-bar-basant-nagar,250,"Pizza, Italian, Burger, Wraps, Desserts, Beverages",4.1,176," Shop 53-54, Majitha Road, Near Gurudwara, Basant Nagar, Amritsar"
"tasty huts afghani soya Restaurant, GNDU Area",https://www.zomato.com/amritsar/tasty-huts-afghani-soya-gndu-area,400,"Street Food, Afghan, North Indian, Chinese, Rolls, Biryani",4.0,177," Near Hardas Hospital, Opposite Khalsa College, GNDU Area, Amritsar"
"dhamaka chicken Restaurant, Mohan Nagar",https://www.zomato.com/amritsar/dhamaka-chicken-mohan-nagar,250,"North Indian, Roast Chicken",4.2,136," Chamrang road,opposite wine shop, The Green building."
"divine chocolate factory Restaurant, Ranjit Avenue",https://www.zomato.com/amritsar/divine-chocolate-factory-ranjit-avenue,800,"Bakery, Cafe, Desserts",3.9,156," SCO 41, Third Floor, Mehra Towers, Ranjit Avenue, Amritsar"
"brewmaster Restaurant, Ranjit Avenue",https://www.zomato.com/amritsar/the-brewmaster-ranjit-avenue,"1,400","North Indian, Asian, Continental",3.9,123," SCO-97,B Block, Ranjeet Avenue, Ranjit Avenue, Amritsar"
"lotizza pizza Restaurant, Basant Nagar",https://www.zomato.com/amritsar/lotizza-pizza-basant-nagar,400,"Pizza, Italian, Sandwich, Burger",3.7,167," US Tower, Krishna Square 1, Near Axis Bank, Batala Road, Basant Nagar, Amritsar"
"spicy hut vintage Restaurant, Ranjit Avenue",https://www.zomato.com/amritsar/spicy-hut-vintage-1-ranjit-avenue,500,"North Indian, Burger, Chinese, Beverages, Pizza, Italian, Desserts",3.8,124," 1, Old Jail Road, Opposite Power House, C-Block, Ranjit Avenue, Amritsar"
"chawla fast food Restaurant, Azad Nagar",https://www.zomato.com/amritsar/chawla-fast-food-azad-nagar,150,"Rolls, Fast Food",4.1,142," House 6996, Gali 3, Ram Nagar Colony, Islamabad, Amritsar"
"narang bakery Restaurant, GT Road",https://www.zomato.com/amritsar/narang-bakery-3-gt-road,300,"Desserts, Bakery, Fast Food",4.0,184," Main Bazar Tehsilpura Near Railway Lines, GT Road, Amritsar"
"just mughlai Restaurant, Ranjit Avenue",https://www.zomato.com/amritsar/just-mughlai-ranjit-avenue,400,"Biryani, Hyderabadi, Lucknowi, North Indian, Mughlai",3.9,128," 63, A-Block Market, Ranjit Avenue, Amritsar"
"chaupati restaurant Restaurant, Lawrence Road",https://www.zomato.com/amritsar/chaupati-restaurant-lawrence-road,"1,000","Chinese, Salad, Biryani",3.7,152," Ground Floor, 9-10, Nehru Shopping Complex, Lawrence Road, Amritsar"
"bridge h k clarks inn Restaurant, Ranjit Avenue",https://www.zomato.com/amritsar/the-bridge-h-k-clarks-inn-ranjit-avenue,"1,600","North Indian, Chinese, Italian",3.0,19," H K Clarks Inn, SCO 14, District Shopping Complex, Ranjit Avenue, Amritsar"
"heere di hatti Restaurant, Town Hall",https://www.zomato.com/amritsar/heere-di-hatti-town-hall,200,"North Indian, Desserts, Beverages",3.4,21," Near Amrit Talkies, Hall Bazar, Town Hall, Amritsar"
"aroras mutton chicken hut Restaurant, Ranjit Avenue",https://www.zomato.com/amritsar/aroras-mutton-and-chicken-hut-ranjit-avenue,150,North Indian,NEW,," Shop-3, Mani Plaza Market, Opposite NRI Colony, Loharka Road, Ranjit Avenue, Amritsar"
"pizza devils Restaurant, Lawrence Road",https://www.zomato.com/amritsar/the-pizza-devils-lawrence-road,400,"Pizza, Burger, Beverages, Sandwich, Wraps, Italian",3.2,8," Building 110, New Road, Opposite Bbk Dav College, Lawrence Road, Amritsar"
"wall asia radisson blu Restaurant, Ranjit Avenue",https://www.zomato.com/amritsar/wall-of-asia-radisson-blu-ranjit-avenue,"1,500","Chinese, Thai, Asian",3.3,13," Ajnala Road, State Highway 25, Opposite International Airport, Ranjit Avenue, Amritsar"
"ac chicken restaurant Restaurant, Hathi Gate",https://www.zomato.com/amritsar/ac-chicken-and-restaurant-hathi-gate,400,North Indian,3.4,21," 1 Mahan Singh Gate Chowk , Amritsar"
"barfiya Restaurant, Ranjit Avenue",https://www.zomato.com/amritsar/barfiya-ranjit-avenue,200,"North Indian, Fast Food, Street Food, South Indian, Momos, Beverages",2.5,9," 120, District Shopping Complex, B Block, Ranjit Avenue, Amritsar"
"shakes snacks Restaurant, Ranjit Avenue",https://www.zomato.com/amritsar/shakes-and-snacks-ranjit-avenue,150,Beverages,3.3,16," House 317, Golden City, Ajnala Road, Meerakot Chowk, Ranjit Avenue, Amritsar"
"moms kitchen Restaurant, Shastri Nagar",https://www.zomato.com/amritsar/moms-kitchen-shastri-nagar,250,"North Indian, Street Food",NEW,," 72, Street 9-B, Sunder Nagar, Batala Road, Near Shastri Nagar, Amritsar"
"puni lal pan aam papad shop Restaurant, Lawrence Road",https://www.zomato.com/amritsar/puni-lal-pan-and-aam-papad-shop-lawrence-road,100,"Paan, Beverages",3.5,19," Shop 29, Near BBK DAV College, Lawrence Road, Amritsar"
"aay kay hotel Restaurant, Rani Ka Bagh",https://www.zomato.com/amritsar/aay-kay-hotel-rani-ka-bagh,"1,000","North Indian, Chinese, Continental, Biryani, Beverages",3.2,15," 5, Albert Road, Amritsar, Rani Ka Bagh, Amritsar"
"khao gally Restaurant, Rani Ka Bagh",https://www.zomato.com/amritsar/khao-gally-rani-ka-bagh,200,"North Indian, Chinese, Burger, Sandwich, Italian",3.4,20," 1-2 Rani Ka Bagh Kacheri Chownk, Amritsar, Rani Ka Bagh, Amritsar"
"basant sweets Restaurant, Mall Road",https://www.zomato.com/amritsar/basant-sweets-mall-road,100,Mithai,3.2,10," 10, Mall Road, Amritsar"
"harbans lal kulcha hut Restaurant, White Avenue",https://www.zomato.com/amritsar/harbans-lal-kulcha-hut-white-avenue,150,Street Food,3.5,18," 27, Puda Colony, Green Avenue, White Avenue, Amritsar"
"bake n cake Restaurant, Shakti Nagar",https://www.zomato.com/amritsar/bake-n-cake-shakti-nagar,500,"Bakery, Fast Food",3.1,9," 105, Gurbax nagar, Nawa Kot, Chabal Road, Shakti Nagar, Amritsar"
"gullu badshah eating point Restaurant, Mohan Nagar",https://www.zomato.com/amritsar/gullu-badshah-eating-point-mohan-nagar,300,"North Indian, BBQ, Afghan",3.2,12," Near Kaka Ram Halwai, Main Sultanwind Road, Mohan Nagar, Amritsar"
"bon appetit Restaurant, Ranjit Avenue",https://www.zomato.com/amritsar/bon-appetit-ranjit-avenue,150,"North Indian, Fast Food, Beverages",2.7,7," 57, Lane 10, SJS Avenue, Ajnala Road, Ranjit Avenue, Amritsar"
"eat n treat Restaurant, Lawrence Road",https://www.zomato.com/amritsar/eat-n-treat-lawrence-road,500,"Fast Food, Continental, Burger, Pizza, Beverages, Sandwich",-,," 7, Duni Chand Road, Opposite Ganpati Road"
"billa pehalwan da dhaba Restaurant, Maquboolpura",https://www.zomato.com/amritsar/billa-pehalwan-da-dhaba-maquboolpura,300,North Indian,3.0,11," Shop 21, Amritsar Bus Stand, Maquboolpura, Amritsar"
"acs food studio Restaurant, Azad Nagar",https://www.zomato.com/amritsar/acs-food-studio-azad-nagar,150,"North Indian, Continental, Pizza",2.7,8," Near Punjab National Bank, Partap Bazar, Azad Nagar, Amritsar"
"billa chicken house Restaurant, Mohan Nagar",https://www.zomato.com/amritsar/billa-chicken-house-mohan-nagar,250,North Indian,3.2,12," I/s. Gate Hakiman, Near Mohan Nagar, Amritsar"
"arora bakers Restaurant, Kabir Park",https://www.zomato.com/amritsar/arora-bakers-kabir-park,300,"Bakery, Fast Food",2.9,13," Shop 67, Kot Khalsa Road, Sarkaria Colony, Kabir Park, Amritsar"
"happy kulcha line Restaurant, GT Road",https://www.zomato.com/amritsar/happy-kulcha-line-gt-road,100,"Street Food, North Indian",3.1,6," S.A Modern School, Purani Chungi, Tarn Taran Road, Amritsar, GT Road, Amritsar"
"hooters indian restro bar Restaurant, Mohan Nagar",https://www.zomato.com/amritsar/hooters-indian-restro-bar-mohan-nagar,150,"North Indian, Beverages",3.0,6," 282, Ground Floor, 100 Ft Road, Mohan Nagar, Amritsar"
"amul milk booth Restaurant, White Avenue",https://www.zomato.com/amritsar/amul-milk-booth-white-avenue,100,"Beverages, Ice Cream",2.8,6," 289, Dr. Baldev Prakash Park, Green Avenue, Amritsar"
"harkirat kulcha land punjabi dhaba Restaurant, Basant Nagar",https://www.zomato.com/amritsar/harkirat-kulcha-land-punjabi-dhaba-basant-nagar,400,"Finger Food, Fast Food, North Indian",3.1,9," Mohkampura Chowk, Gurudwara Tungpai, Batala Road, Mohkampura Thana Road, Amritsar, Punjab-143001"
"om juice bar Restaurant, Ranjit Avenue",https://www.zomato.com/amritsar/om-juice-bar-ranjit-avenue,250,Juices,2.5,12," Court Road, Ranjit Avenue, Amritsar"
