name,link,cost for 2,cuisines,ratings,reviews,address
"tea crush Restaurant, BHEL",https://www.zomato.com/bhopal/the-tea-crush-bhel,400,Cafe,2.9,8," 3/71, Chhatrasal Nagar R 8, Sector-C Indrapuri, Behind Mandakni Pariser BDA Complex, Bhopaload, Chhatrasal Nagar Phase - 2, Chatrasal Nagar, Indrapuri, Bhopal, Madhya Pradesh 462022, India"
"chefs corner Restaurant, Gulmohar Colony",https://www.zomato.com/bhopal/chefs-corner-gulmohar-colony,400,Fast Food,2.9,7," Opposite Sizzlers Bar , Tapri House , KOLAR"
"chillies peppers Restaurant, JP Nagar",https://www.zomato.com/bhopal/chillies-peppers-jp-nagar,700,North Indian,2.9,4," Peoples Campus, Bhanpur, Bhopal"
"kettle coffee tea house Restaurant, Jhangirabad",https://www.zomato.com/bhopal/the-kettle-coffee-and-tea-house-jhangirabad,300,"Fast Food, Beverages",2.9,4," 33, Shankar Garden, Ashoka Garden, Bhopal"
"brijwasi bhojnalaya Restaurant, Jhangirabad",https://www.zomato.com/bhopal/brijwasi-bhojnalaya-jhangirabad,350,North Indian,2.9,6," Opposite Bhopal Station, Platform 6, Railway Station Road, Jhangirabad, Bhopal"
"hotel skylark Restaurant, Maharana Pratap Nagar",https://www.zomato.com/bhopal/hotel-skylark-maharana-pratap-nagar,650,North Indian,2.9,6," Opposite Arya Bhavan, Zone 2, Maharana Pratap Nagar, Bhopal"
"bharat dosa Restaurant, Maharana Pratap Nagar",https://www.zomato.com/bhopal/bharat-dosa-maharana-pratap-nagar,200,South Indian,2.9,5," Shop 4, Chetak Complex, Zone 2, Maharana Pratap Nagar, Bhopal"
"garrison restro lounge Restaurant, Maharana Pratap Nagar",https://www.zomato.com/bhopal/the-garrison-restro-and-lounge-maharana-pratap-nagar,350,"Fast Food, North Indian, Chinese",2.9,4," Plot 152, Fourth Floor, Saif Complex Zone 1, Maharana Pratap Nagar, Bhopal"
"zayka pan Restaurant, Arera Colony",https://www.zomato.com/bhopal/zayka-pan-arera-colony,100,Paan,2.9,4," G5, Pandit Deendayal Parisar BJP Office, Arera Colony, Bhopal"
"sri radha krishan bonjanalaya Restaurant, Peer Gate Area",https://www.zomato.com/bhopal/sri-radha-krishan-bonjanalaya-peer-gate-area,200,North Indian,2.9,5," Royal Market, Opposite GPO, Peer Gate Area, Bhopal"
"juice corner Restaurant, Maharana Pratap Nagar",https://www.zomato.com/bhopal/juice-corner-maharana-pratap-nagar,100,"Juices, Beverages",2.9,6," Plot 185, Zone 2, Beside Sargam Cinema, Maharana Pratap Nagar, Bhopal"
"hotel royal palace Restaurant, BHEL",https://www.zomato.com/bhopal/hotel-royal-palace-bhel,500,North Indian,2.9,5," Mukharji Nagar, Vidisha, Madhya Pradesh 464001, India"
"desi adda Restaurant, Arera Colony",https://www.zomato.com/bhopal/desi-adda-arera-colony,400,Fast Food,2.9,5," Champion School Road, Shahpura, Arera Colony, Bhopal"
