fav,lat,lon,url
₹400 for two people (approx.),23.2552919535,77.4611640349,https://www.zomato.com/bhopal/the-tea-crush-bhel
₹200 for two people (approx.),,,https://www.zomato.com/bhopal/house-of-candy-hoshangabad-road
₹250 for two people (approx.),,,https://www.zomato.com/bhopal/9-masala-street-2-maharana-pratap-nagar
₹300 for two people (approx.),23.2528639000,77.4363277000,https://www.zomato.com/bhopal/aesthetics-nutrition-jhangirabad
₹400 for two people (approx.),23.1796920000,77.4176720000,https://www.zomato.com/bhopal/chefs-corner-kolar
₹100 for two people (approx.),23.2165954000,77.4579557000,https://www.zomato.com/bhopal/biryani-khaoge-bhel
₹200 for two people (approx.),23.2650680000,77.4057560000,https://www.zomato.com/bhopal/milan-indori-nashta-peer-gate-area
₹300 for two people (approx.),23.1820491145,77.4564041197,https://www.zomato.com/bhopal/the-sauce-story-hoshangabad-road
₹250 for two people (approx.),,,https://www.zomato.com/bhopal/shahi-durbar-tt-nagar
₹150 for two people (approx.),,,https://www.zomato.com/bhopal/yummy-fast-food-tt-nagar
₹300 for two people (approx.),23.2292830000,77.4861010000,https://www.zomato.com/bhopal/bakers-point-bhel
₹200 for two people (approx.),23.3038250000,77.3969060000,https://www.zomato.com/bhopal/anshika-dhaba-and-family-restaurant-airport-area
₹600 for two people (approx.),23.2257780000,77.3925980000,https://www.zomato.com/bhopal/sher-e-punjab-paji-tt-nagar
₹300 for two people (approx.),23.2197150000,77.4428520000,https://www.zomato.com/bhopal/amits-kathi-rolls-grills-habib-ganj
₹300 for two people (approx.),23.2329893900,77.4297557000,https://www.zomato.com/bhopal/jaipur-street-maharana-pratap-nagar
₹250 for two people (approx.),23.2319730000,77.4356800000,https://www.zomato.com/bhopal/shagun-cafe-maharana-pratap-nagar
₹400 for two people (approx.),23.1954599000,77.4706865000,https://www.zomato.com/bhopal/the-shaukeens-hoshangabad-road
₹250 for two people (approx.),23.2569730000,77.3953720000,https://www.zomato.com/bhopal/al-hashmi-biryani-house-peer-gate-area
₹200 for two people (approx.),23.2609210000,77.4291460000,https://www.zomato.com/bhopal/janki-fast-food-jhangirabad
₹600 for two people (approx.),23.1881174000,77.4329658000,https://www.zomato.com/bhopal/club-d-zorba-gulmohar-colony
₹250 for two people (approx.),23.2529670000,77.4650430000,https://www.zomato.com/bhopal/coco-cafe-1-bhel
₹250 for two people (approx.),23.2560670000,77.4027910000,https://www.zomato.com/bhopal/merhaba-fast-food-peer-gate-area
₹300 for two people (approx.),23.2514890000,77.4670560000,https://www.zomato.com/bhopal/dhakad-biryani-bhel
"Tea, Cheesy Garlic Bread, Maggi, Vada Pav, Veg Sandwich",23.2253591496,77.4357266352,https://www.zomato.com/bhopal/caffeine-mug-cafe-habib-ganj
₹200 for two people (approx.),23.1863510000,77.4339882000,https://www.zomato.com/bhopal/wild-smack-gulmohar-colony
₹150 for two people (approx.),23.2370210000,77.3991870000,https://www.zomato.com/bhopal/kulhadwala-desi-chai-ka-adda-tt-nagar
₹400 for two people (approx.),23.2663637780,77.3865278308,https://www.zomato.com/bhopal/milk-munch-kohefiza
₹350 for two people (approx.),23.2643980000,77.4095200000,https://www.zomato.com/bhopal/amar-jyot-restaurant-peer-gate-area
₹300 for two people (approx.),23.2168690000,77.4565530000,https://www.zomato.com/bhopal/chaska-momos-habib-ganj
Paneer Tikka,23.1745252984,77.4603355676,https://www.zomato.com/bhopal/golden-oak-restaurant-hoshangabad-road
₹200 for two people (approx.),23.2461090000,77.4335290000,https://www.zomato.com/bhopal/salim-chicken-corner-maharana-pratap-nagar
₹250 for two people (approx.),23.2513510000,77.4650660000,https://www.zomato.com/bhopal/waffle-wonder-bhel
₹300 for two people (approx.),23.2144790000,77.4340950000,https://www.zomato.com/bhopal/gaagar-arera-colony
₹800 for two people (approx.),23.3053150864,77.4225251377,https://www.zomato.com/bhopal/kachnaar-hotel-raja-bhoj-jp-nagar
₹700 for two people (approx.),23.1948050000,77.4735850000,https://www.zomato.com/bhopal/chhappan-bhog-arera-colony
₹250 for two people (approx.),23.2139620000,77.4363550000,https://www.zomato.com/bhopal/rhythm-on-fire-hoshangabad-road
₹400 for two people (approx.),23.1789910000,77.4578990000,https://www.zomato.com/bhopal/hbt-bakery-hoshangabad-road
₹250 for two people (approx.),23.2513810000,77.4657570000,https://www.zomato.com/bhopal/caffeine-mug-bhel
₹400 for two people (approx.),23.2019500000,77.4370300000,https://www.zomato.com/bhopal/shri-gurukripa-restaurant-gulmohar-colony
Biryani,23.2890890000,77.4133010000,https://www.zomato.com/bhopal/tandoori-hut-jp-nagar
₹600 for two people (approx.),23.2019500000,77.4370300000,https://www.zomato.com/bhopal/new-zam-zam-gulmohar-colony
"Pav Bhaji, Panipuri, Masala Dosa, Cheese Dosa",23.2727574046,77.3435481638,https://www.zomato.com/bhopal/nerbada-sweets-restaurant-kohefiza
₹250 for two people (approx.),23.3009400000,77.4041370000,https://www.zomato.com/bhopal/spicy-fast-food-center-airport-area
₹500 for two people (approx.),23.2184610000,77.3717280000,https://www.zomato.com/bhopal/bhopal-baking-company-tt-nagar
₹300 for two people (approx.),23.2679590000,77.3914061000,https://www.zomato.com/bhopal/bhima-chinese-and-fast-food-1-tt-nagar
₹200 for two people (approx.),23.2349220000,77.3967710000,https://www.zomato.com/bhopal/frydays-kohefiza
₹300 for two people (approx.),23.2496290000,77.4752470000,https://www.zomato.com/bhopal/murga-on-wheels-2-bhel
₹700 for two people (approx.),23.2590830000,77.3968740000,https://www.zomato.com/bhopal/shaguns-restaurant-peer-gate-area
₹300 for two people (approx.),23.2231920000,77.4452200000,https://www.zomato.com/bhopal/murga-on-wheels-habib-ganj
₹350 for two people (approx.),23.2646445386,77.4134244025,https://www.zomato.com/bhopal/raj-bhog-restaurant-jp-nagar
₹300 for two people (approx.),23.2661842963,77.4011462554,https://www.zomato.com/bhopal/wonder-bread-peer-gate-area
₹250 for two people (approx.),23.2331361000,77.4295160000,https://www.zomato.com/bhopal/f-for-fries-maharana-pratap-nagar
₹250 for two people (approx.),23.2102960000,77.4364900000,https://www.zomato.com/bhopal/ganesham-fast-food-arera-colony
₹400 for two people (approx.),23.1767780000,77.4367840000,https://www.zomato.com/bhopal/chefs-corner-gulmohar-colony
₹100 for two people (approx.),23.2514950000,77.4633520000,https://www.zomato.com/bhopal/karnawat-bhel
₹350 for two people (approx.),23.2508060000,77.4152880000,https://www.zomato.com/bhopal/desi-gali-fast-food-jhangirabad
₹100 for two people (approx.),23.2183850000,77.4579960000,https://www.zomato.com/bhopal/karnawat-habib-ganj
₹150 for two people (approx.),23.1721400000,77.4165530000,https://www.zomato.com/bhopal/bikaner-misthan-bhandar-1-kolar
₹500 for two people (approx.),23.2298320000,77.4416990000,https://www.zomato.com/bhopal/new-hakeem-hotel-habib-ganj
₹300 for two people (approx.),23.2146200000,77.4340540000,https://www.zomato.com/bhopal/tandoori-hut-arera-colony
₹300 for two people (approx.),23.1887458553,77.4346842114,https://www.zomato.com/bhopal/amour-ice-cream-gulmohar-colony
₹200 for two people (approx.),23.1991350000,77.4199480000,https://www.zomato.com/bhopal/babuji-restaurant-and-cafe-kolar
₹500 for two people (approx.),23.1874231859,77.4173028767,https://www.zomato.com/bhopal/bapu-ki-kutia-kolar
₹300 for two people (approx.),23.2546290000,77.4016840000,https://www.zomato.com/bhopal/ramu-dada-ka-barf-rasmalai-dona-peer-gate-area
₹150 for two people (approx.),23.2684650000,77.4687060000,https://www.zomato.com/bhopal/jai-mahakaal-tiffin-center-and-delhi-paratha-house-bhel
₹500 for two people (approx.),23.2354651000,77.4359555000,https://www.zomato.com/bhopal/the-good-bowl-maharana-pratap-nagar
₹500 for two people (approx.),23.2149105702,77.4301426113,https://www.zomato.com/bhopal/evening-point-arera-colony
₹500 for two people (approx.),23.1764890000,77.4206370000,https://www.zomato.com/bhopal/jain-kaid-khana-kolar
₹200 for two people (approx.),23.2261860000,77.4016980000,https://www.zomato.com/bhopal/milan-sweets-and-namkeen-tt-nagar
₹400 for two people (approx.),23.2778250000,77.4616090000,https://www.zomato.com/bhopal/bhojkuti-dhaba-bhel
₹300 for two people (approx.) Without alcohol,23.2330532502,77.4296165630,https://www.zomato.com/bhopal/moti-mahal-deluxe-maharana-pratap-nagar
₹250 for two people (approx.),23.1747220000,77.4329150000,https://www.zomato.com/bhopal/thikana-the-bbq-gulmohar-colony
"₹1,000 for two people (approx.)",23.2185590000,77.4346470000,https://www.zomato.com/bhopal/annys-artisan-bistro-arera-colony
₹300 for two people (approx.),23.2947270000,77.3551210000,https://www.zomato.com/bhopal/milano-bakes-1-airport-area
₹400 for two people (approx.),23.2514640000,77.4644520000,https://www.zomato.com/bhopal/food-adda-bhel
₹200 for two people (approx.),23.2728520000,77.3929810000,https://www.zomato.com/bhopal/tik-tok-restaurant-peer-gate-area
₹200 for two people (approx.),23.3033560000,77.4172370000,https://www.zomato.com/bhopal/dubai-return-chef-1-jp-nagar
₹300 for two people (approx.),23.2723908000,77.3367182000,https://www.zomato.com/bhopal/mammas-burger-kohefiza
₹200 for two people (approx.),23.2629340000,77.4266970000,https://www.zomato.com/bhopal/lucky-bakery-1-jhangirabad
₹300 for two people (approx.),23.2281779784,77.4372880161,https://www.zomato.com/bhopal/hotel-sudarshan-palace-maharana-pratap-nagar
₹300 for two people (approx.),23.2676410000,77.3897930000,https://www.zomato.com/bhopal/milan-bakery-kohefiza
"Dal Makhani, Paneer Tikka, Wine, Naan",23.2349291842,77.4348710105,https://www.zomato.com/bhopal/bay-leaf-courtyard-marriott-maharana-pratap-nagar
₹300 for two people (approx.),23.2345900000,77.4415260000,https://www.zomato.com/bhopal/apna-kitchen-maharana-pratap-nagar
₹500 for two people (approx.),23.1889228452,77.4256820977,https://www.zomato.com/bhopal/the-local-eatery-gulmohar-colony
₹200 for two people (approx.),23.1865050000,77.4340290000,https://www.zomato.com/bhopal/sandwich-junction-gulmohar-colony
₹550 for two people (approx.),23.2398540000,77.4043230000,https://www.zomato.com/bhopal/tapti-restaurant-1-tt-nagar
₹400 for two people (approx.),23.2623840000,77.4110920000,https://www.zomato.com/bhopal/al-zaid-fast-food-peer-gate-area
₹300 for two people (approx.),23.1731590000,77.4406286000,https://www.zomato.com/bhopal/raju-bhai-amar-hotel-gulmohar-colony
₹200 for two people (approx.),23.2734830000,77.3459850000,https://www.zomato.com/bhopal/the-sundae-shop-airport-area
₹200 for two people (approx.),23.1886095000,77.4172076000,https://www.zomato.com/bhopal/ratlami-namkeen-and-bakery-kolar
₹200 for two people (approx.),23.1914847000,77.4814774000,https://www.zomato.com/bhopal/sanchi-parlour-3-hoshangabad-road
"Paneer Tikka, Thali, Puri Sabzi",23.2273827722,77.4378871545,https://www.zomato.com/bhopal/agrawals-rajbhog-maharana-pratap-nagar
₹200 for two people (approx.),23.2663467600,77.4142364500,https://www.zomato.com/bhopal/hotel-aftab-peer-gate-area
₹300 for two people (approx.),23.2355630000,77.4360310000,https://www.zomato.com/bhopal/sweet-truth-1-maharana-pratap-nagar
₹700 for two people (approx.),23.3013354579,77.4241716787,https://www.zomato.com/bhopal/chillies-peppers-jp-nagar
₹800 for two people (approx.) Without alcohol,23.2787820000,77.4573100000,https://www.zomato.com/bhopal/hotel-awadh-palace-1-bhel
₹550 for two people (approx.),23.2564932905,77.3969931901,https://www.zomato.com/bhopal/hot-spot-peer-gate-area
₹250 for two people (approx.),23.2337700000,77.3956710000,https://www.zomato.com/bhopal/second-home-restaurant-tt-nagar
₹400 for two people (approx.),23.1884340555,77.4333438277,https://www.zomato.com/bhopal/7-course-1-gulmohar-colony
"Sandwich, Punjabi Tadka Maggi, Pizza, White Sauce Pasta, Veg Maggi",23.2732560000,77.3694640000,https://www.zomato.com/bhopal/lig-maggi-pasta-kohefiza
₹800 for two people (approx.),23.1880610000,77.4391290000,https://www.zomato.com/bhopal/foodie-family-garden-restaurant-gulmohar-colony
₹500 for two people (approx.),23.1642470000,77.4678570000,https://www.zomato.com/bhopal/shambys-pizza-cafe-gulmohar-colony
₹700 for two people (approx.),23.2327440000,77.4355450000,https://www.zomato.com/bhopal/h-b-restro-maharana-pratap-nagar
"Salad, Mexican Patty, Aloo Patty",23.2331598486,77.4297288805,https://www.zomato.com/bhopal/subway-maharana-pratap-nagar
₹200 for two people (approx.),23.1828060000,77.4560670000,https://www.zomato.com/bhopal/truly-fresh-hoshangabad-road
₹200 for two people (approx.),23.2752440000,77.3717540000,https://www.zomato.com/bhopal/shri-barfi-house-airport-area
₹400 for two people (approx.),23.3023730000,77.4103600000,https://www.zomato.com/bhopal/hotel-tadka-1-jp-nagar
₹300 for two people (approx.),23.2147570000,77.4342130000,https://www.zomato.com/bhopal/loli-mumbai-vada-pav-arera-colony
₹150 for two people (approx.),23.2384200000,77.4395500000,https://www.zomato.com/bhopal/the-carlsberg-cafe-and-restaurant-maharana-pratap-nagar
₹300 for two people (approx.),23.1878230000,77.4330000000,https://www.zomato.com/bhopal/the-london-shakes-cafe-gulmohar-colony
₹700 for two people (approx.),23.2273760000,77.4231030000,https://www.zomato.com/bhopal/nawabs-kebabs-and-curries-tt-nagar
₹500 for two people (approx.),23.1284466905,77.4945196509,https://www.zomato.com/bhopal/pal-da-dhaba-hoshangabad-road
₹500 for two people (approx.),23.2273485000,77.4230920000,https://www.zomato.com/bhopal/cook-dooh-kooh-maharana-pratap-nagar
"₹1,000 for two people (approx.)",23.2294781505,77.4351610243,https://www.zomato.com/bhopal/hotel-ganpati-maharana-pratap-nagar
₹400 for two people (approx.),23.1904280000,77.4334810000,https://www.zomato.com/bhopal/khan-sahab-xpress-gulmohar-colony
₹400 for two people (approx.),23.1437280000,77.4832600000,https://www.zomato.com/bhopal/delicious-delhi-dhaba-hoshangabad-road
₹200 for two people (approx.),23.2759990000,77.4028830000,https://www.zomato.com/bhopal/afifas-biryanz-jp-nagar
₹700 for two people (approx.),23.2944230000,77.3567700000,https://www.zomato.com/bhopal/hideout-14-airport-area
"Paratha, Paneer Parantha, Roti",23.2482350000,77.4709090000,https://www.zomato.com/bhopal/taste-of-street-bhel
₹200 for two people (approx.),23.1852610000,77.4574570000,https://www.zomato.com/bhopal/anjani-veg-bhojnalaya-hoshangabad-road
₹250 for two people (approx.),23.2662550000,77.3866620000,https://www.zomato.com/bhopal/lig-maggi-pasta-peer-gate-area
₹800 for two people (approx.),23.2047400525,77.3621640354,https://www.zomato.com/bhopal/zahaz-restro-lounge-kajlas
₹800 for two people (approx.),23.2627480773,77.4111770466,https://www.zomato.com/bhopal/rasoi-jhangirabad
₹100 for two people (approx.),23.2731000000,77.3663220000,https://www.zomato.com/bhopal/momo-junction-1-kohefiza
