,index,cluster,size,rating,reviews,cost,lat,lon
0,16,16,79,3.5,366.91,567.7,19.03106534,73.0215016
1,22,22,67,3.6,338.67,667.9,19.10128165,73.00434921
2,13,13,296,3.7,362.54,553.4,19.21912979,72.84282625
3,18,18,125,3.7,438.66,639.6,19.16951614,72.85908714
4,7,7,114,3.7,401.34,617.1,19.0393125,73.06567892
5,23,23,114,3.7,369.46,682.0,19.05225847,72.89989293
6,36,36,69,3.7,275.64,518.1,19.21779726,73.08910735
7,10,10,525,3.8,616.96,934.7,19.01132543,72.83487886
8,11,11,489,3.8,366.1,641.9,19.19177097,72.96259090000002
9,14,14,280,3.8,457.79,666.1,18.95643558,72.82227483
10,6,6,211,3.8,449.35,765.4,19.18546016,72.84173325
11,38,38,171,3.8,295.04,596.2,19.284993,72.86725
12,40,40,109,3.8,407.48,641.3,19.07495814,72.90519364
13,35,35,88,3.8,409.16,583.0,19.2494051,72.8508644
14,0,0,1206,3.9,539.12,993.2,19.12397048,72.85871666
15,8,8,445,3.9,701.46,1010.8,19.06589962,72.83330876
16,24,24,258,3.9,885.58,1395.9,18.92822685,72.83155628
17,90,90,75,3.9,1027.49,1927.3,19.1071173,72.82625087
