name,link,cost for 2,cuisines,ratings,reviews,address,lat,lon
"lassi n cafe Restaurant, Margao",https://www.zomato.com/goa/lassi-n-cafe-margao,400,"Fast Food, Desserts, Beverages",3.6,44," Shop Number G-3, Premabai Enclave, Opposite The Goa State Coop Bank Ltd, Borda, Margao, Goa",15.3975936864,73.8093143329
"royal darbar Restaurant, Vasco",https://www.zomato.com/goa/royal-darbar-vasco,200,Fast Food,NEW,," Indira Niwas Building, Vasco Da Gama, Near Madina Masjid, Vasco Goa",15.6035098267,73.8250096142
"kokum kitchen taj fort aguada resort spa Restaurant, Candolim",https://www.zomato.com/goa/kokum-kitchen-taj-fort-aguada-resort-spa-candolim,"2,000","Seafood, Goan, Continental",3.9,68," Taj Fort Aguada Resort & Spa, Sinquerim Candolim Bardez, Candolim, Goa",15.2837449424,73.9720573649
"soul curry multi cuisine restaurant Restaurant, Mapusa",https://www.zomato.com/goa/soul-curry-multi-cuisine-restaurant-mapusa,800,"Seafood, Goan, North Indian, Chinese",4.2,227," Hotel Purshottam International, NH-66, Near Peddem Sports Complex, Peddem, Mapusa, Goa",15.4981735106,73.7684274092
"bazaar Restaurant, Candolim",https://www.zomato.com/goa/the-bazaar-candolim,800,"North Indian, Continental, Goan",3.3,39," Opposite Football Ground, Candolim, Goa",15.2917115506,73.9635758847
"raddish bar restaurant Restaurant, Baga",https://www.zomato.com/goa/raddish-bar-restaurant-baga,"1,100","Chinese, Continental, Goan, North Indian, Russian",3.9,137," 552, Opposite Royal Goan Beach, Arpora Road, Bardez, Baga, Goa",15.3912725947,73.8097384572
"damodar purohit sweets fast food  Restaurant, Margao",https://www.zomato.com/goa/damodar-purohit-sweets-fast-food-margao,150,Mithai,NEW,," Shop 20 & 21, Lake Plaza Building, State Highway 18, Fatorda, Margao, Goa",15.5687371289,73.7535773590
"cafe ancient rock Restaurant, Panaji",https://www.zomato.com/goa/cafe-ancient-rock-panaji,500,"North Indian, Chinese, Goan, Continental, Mughlai",2.9,5," 1/122/4 1/122/5 & 1/122/6 Coelho Pereira Building, Ground Floor, MG Road Panaji, Goa",15.4998063764,73.8320142031
"purple martini Restaurant, Anjuna",https://www.zomato.com/goa/purple-martini-anjuna,"1,500","Continental, Seafood, Italian, Mediterranean, North Indian",4.9,3777," Anjuna Beach, Anjuna, Goa",15.2796015914,73.9383939654
"krishna hotel Restaurant, Vasco",https://www.zomato.com/goa/krishna-hotel-vasco,100,"South Indian, Street Food",NEW,," Near Baina, Vasco, Goa",15.5209726936,73.7675258517
"xanti bakery Restaurant, Calangute",https://www.zomato.com/goa/xanti-bakery-calangute,200,"Bakery, Desserts",-,," Ground Floor, Vila Nova Residency, Beach Road, Calangute",15.3953969227,74.0020340681
"naughty prawn bar bistro Restaurant, Calangute",https://www.zomato.com/goa/naughty-prawn-bar-bistro-calangute,900,"Continental, North Indian, Goan",-,," Calangute-Baga Road, Near Sao Joe Baptista Chapel, Umta Vaddo, Calangute, Goa",15.5472275135,73.7600706518
"jocarol restaurant bar Restaurant, Cavelossim",https://www.zomato.com/goa/jocarol-restaurant-bar-cavelossim,850,"Goan, Seafood",3.2,5," Ferry Road, Asolna, Goa",15.0069578381,74.0275941789
"sher e punjab Restaurant, Panaji",https://www.zomato.com/goa/sher-e-punjab-panaji,"1,300","North Indian, Mughlai, Chinese, Desserts, Beverages",3.9,302," 12/84, Kuldip Plaza, 18th June Road, Panaji, Goa",15.2842303925,73.9741300419
"nesh garden pub Restaurant, Benaulim",https://www.zomato.com/goa/nesh-garden-pub-benaulim,600,"Chinese, North Indian, Goan",-,," Near Petrol Pump, Ascona, Diuler, Benaulim, Goa",15.2537800506,73.9434666932
"goan spice Restaurant, Anjuna",https://www.zomato.com/goa/goan-spice-1-anjuna,450,"Goan, Chinese, Continental",3.9,66," Guamwadi, Anjuna Siolim Road, Anjuna, Anjuna, Goa",15.5578335416,73.7556859106
"tyson place china town Restaurant, Palolem",https://www.zomato.com/goa/tyson-place-china-town-palolem,800,"Goan, Continental, Chinese",-,," Ourem Road, Mohanbagh, Canacona, Palolem, Goa",15.1815930738,73.9658738673
"zaiqa take away restaurant afc grills  Restaurant, Mapusa",https://www.zomato.com/goa/zaiqa-take-away-restaurant-afc-grills-mapusa,300,"Fast Food, Chinese",2.9,13," House 7/78/4, Rajwado Angod, Mapusa, Bardez, Mapusa, Goa",15.5906727137,73.8122205064
"suraj sweets  Restaurant, Margao",https://www.zomato.com/goa/suraj-sweets-margao,200,Mithai,NEW,," Shop 8, Ground Floor, St. Joaquim Road, Near Old Sarve Offce, Borda, Margao, Goa",15.5885661647,73.7602369487
"delta residency Restaurant, Calangute",https://www.zomato.com/goa/delta-residency-calangute,750,"North Indian, Chinese",-,," 1/201 B, Near Anthony Chapel, Gauravaddo, Calangute, Goa",15.5909097515,73.8148095086
"ranchikood Restaurant, Panaji",https://www.zomato.com/goa/ranchikood-panaji,200,Goan,-,," H 10/81/A5, BS 2, Mohidin Tower, Near EDC House, D.B Road, Tiswadi, Panaji, Goa",15.2594050202,73.9307892323
"hotel vilena Restaurant, Mapusa",https://www.zomato.com/goa/hotel-vilena-mapusa,800,Goan,-,," Flat BSF 4, Chandranath Apartments, 2nd Floor, Opposite Police Station, Bardez, North Goa, Mapusa, Goa",15.5361567518,73.7629768252
"viva goa Restaurant, Candolim",https://www.zomato.com/goa/viva-goa-candolim,450,"Goan, Seafood, North Indian, Chinese",3.7,29," Maria Apartments, Anawaddo, Candolim, Goa",15.5248075782,73.7662866712
"fruitilicious Restaurant, Panaji",https://www.zomato.com/goa/fruitilicious-panaji,300,"Desserts, Beverages",3.7,22," Kamat Towers, Patto, Panjim, Goa",15.4979198886,73.8262521476
"bharvis cuisine Restaurant, Ponda",https://www.zomato.com/goa/bharvis-cuisine-2-ponda,700,"North Indian, Goan, Mughlai",3.4,19," Shop 3 & 4, Hill View Motel Bulding Tisk, Ponda, Goa",15.4953368035,73.8245697320
"karnis palace Restaurant, Baga",https://www.zomato.com/goa/karnis-palace-1-baga,550,"South Indian, North Indian, Fast Food, Chinese",2.4,14," Saunta Waddo, Bardez, Baga, Goa",15.6483562323,73.7172602490
"beach house taj holiday village resort spa Restaurant, Candolim",https://www.zomato.com/goa/beach-house-taj-holiday-village-resort-spa-candolim,"3,000",Goan,3.9,49," Taj Holiday Village Resort & Spa, Bardez, Candolim, Goa",15.5831396750,73.7374304608
"molus classic Restaurant, Palolem",https://www.zomato.com/goa/molus-classic-palolem,"1,000","Goan, Chinese",3.7,21," Agonda Road, Near Fern Gardenia Resort ,Devabag,, Canacona, Palolem, Goa",15.4939426673,73.8357699662
"plyazh Restaurant, Ashwem",https://www.zomato.com/goa/plyazh-ashwem,400,"North Indian, Continental, Goan",-,," OYO Townhouse 031 Ashwem Vaddo, Ashwem Beach Road, Mandrem, Ashwem Beach, Goa",15.3901399176,73.8102118671
"cool n spice Restaurant, Ponda",https://www.zomato.com/goa/cool-n-spice-ponda,600,"Chinese, North Indian, Goan",3.6,73," First Floor, Menino Trade Centre, Opposite Canara Bank, Ponda, Goa",15.0369220697,73.9898601919
"no 23 royan corner bar restaurant Restaurant, Benaulim",https://www.zomato.com/goa/no-23-royan-corner-bar-restaurant-benaulim,700,"Seafood, North Indian, Beverages",-,," Colva Road, Maria Hall, Besides Benaulim Panchayat, Benaulim, Goa",15.5001094277,73.7713443115
