name,link,cost for 2,cuisines,ratings,reviews,address
"rfc restaurant Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/rfc-restaurant-gurdaspur-locality,400,"North Indian, Chinese, Wraps, Sandwich, Burger, Desserts, Beverages",3.9,26," Vill Bariar Adda, Near Bye Pass, Gurdaspur Locality, Gurdaspur"
"dominar pizza restaurant Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/dominar-pizza-restaurant-gurdaspur-locality,400,"Italian, Fast Food, Burger, Sandwich, Beverages",4.3,59," Police line road, Near hanuman chowk, Gurdaspur, Punjab, Gurdaspur Locality, Gurdaspur"
"grill house cafe Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/grill-house-cafe-gurdaspur-locality,400,"Burger, Sandwich, Desserts, Beverages",4.3,57," Singh brothers complex, Police line road, Gurdaspur - Punjab, Gurdaspur Locality, Gurdaspur"
"anand fast food shop Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/anand-fast-food-shop-gurdaspur-locality,200,"Chinese, South Indian",4.3,42," library road, gurdaspur, Gurdaspur Locality, Gurdaspur"
"belgium coco Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/belgium-coco-gurdaspur-locality,500,"Italian, Burger, Sandwich, Beverages",4.4,50," Near bright academy, Kahnuwan chowk, Gurdaspur, Gurdaspur Locality, Gurdaspur"
"shri radhe bikaner Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/shri-radhe-bikaner-gurdaspur-locality,300,"Mithai, Bakery, Fast Food, Chinese",4.1,40," Police Line Road, Gurdaspur Locality, Gurdaspur"
"mr burger hut Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/mr-burger-hut-gurdaspur-locality,250,"Burger, Sandwich, Beverages, Desserts",4.1,21," Jail Road, Opposite Easyday, Gurdaspur Locality, Gurdaspur"
"shri radhe restaurant Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/shri-radhe-restaurant-gurdaspur-locality,400,"North Indian, Chinese",4.1,22," Police Line Road, Gurdaspur Locality, Gurdaspur"
"subway Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/subway-gurdaspur-locality,400,"Wraps, Salad, Fast Food",3.8,13," Gurdaspur Byepass, Near P.S Garden, Gurdaspur, Gurdaspur Locality, Gurdaspur"
"australian bakery cafe Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/australian-bakery-cafe-gurdaspur-locality,350,"Italian, Burger, Sandwich, Beverages",4.4,29," Opposite milk plant chowk, Pathankot road, Gurdaspur - Punjab, Gurdaspur Locality, Gurdaspur"
