name,link,cost for 2,cuisines,ratings,reviews,address
"om niwas bakery line Restaurant, Bani Park",https://www.zomato.com/omniwasbakeryline,200,Bakery,3.6,36," Om Niwas Suite Hotel, E 23, Kaushalya Path, Durga Marg, Near Durga Apartments, Bani Park, Jaipur"
"cloud cake company Restaurant, Malviya Nagar",https://www.zomato.com/jaipur/cloud-cake-company-1-malviya-nagar,800,Bakery,3.6,16," Shop 8, Satkar Shopping Centre, Malviya Nagar, Jaipur"
"salsa hotel royal orchid Restaurant, Tonk Road",https://www.zomato.com/jaipur/salsa-hotel-royal-orchid-tonk-road,"2,000",Finger Food,3.6,37," Hotel Royal Orchid, Opposite BSNL Office, Near Durgapura Flyover, Durgapura, Tonk Road, Jaipur"
"hukum ae dost Restaurant, Tonk Road",https://www.zomato.com/jaipur/hukum-ae-dost-tonk-road,500,"Fast Food, Beverages",3.6,28," Gupta Bhawan, Opposite Jhulelal Mandir, Durgapura, Tonk Road, Jaipur"
"raju egg corner Restaurant, Vidhyadhar Nagar",https://www.zomato.com/jaipur/raju-egg-corner-vidhyadhar-nagar,100,Fast Food,3.6,40," Ambabari, Near Traffic Signal, Vidhyadhar Nagar, Jaipur"
"batras take away corner Restaurant, Raja Park",https://www.zomato.com/jaipur/batras-take-away-corner-1-raja-park,100,North Indian,3.6,42," 354, Lane 2, Opposite Hotel Doda's Palace, Raja Park, Jaipur"
"palapa Restaurant, Malviya Nagar",https://www.zomato.com/jaipur/palapa-1-malviya-nagar,600,"North Indian, Chinese, Fast Food",3.6,15," Shop 2b, B-41, Kardhani Shopping Centre, Hari Marg, Malviya Nagar, Jaipur"
"pizzarah Restaurant, Vaishali Nagar",https://www.zomato.com/jaipur/pizzarah-vaishali-nagar,450,Fast Food,3.6,35," Amar Jain Hospital, Opposite MTS Office, Vaishali Nagar, Jaipur"
"kanha bakeology Restaurant, C Scheme",https://www.zomato.com/jaipur/kanha-bakeology-c-scheme,450,Bakery,3.6,34," E 62, Basement Floor, Bhagatsingh Marg, C Scheme, Jaipur"
"amritsari junction Restaurant, Jawahar Nagar",https://www.zomato.com/jaipur/amritsari-junction-jawahar-nagar,600,North Indian,3.6,27," Shop G-1 A, Plot 7-KA-12, Jawahar Nagar, Jaipur"
"shankar walas namkeen Restaurant, Pink City",https://www.zomato.com/jaipur/shankar-walas-namkeen-pink-city,200,"Mithai, Bakery",3.6,44," 233, Southli Walo Ka Rasta, Chaura Rasta, Pink City, Jaipur"
"order hut by punjabi tadka Restaurant, Jawahar Nagar",https://www.zomato.com/jaipur/order-hut-by-punjabi-tadka-jawahar-nagar,350,North Indian,3.6,27," Shop G-1-A, Plot 7-KA-12, Jawahar Nagar, Jaipur"
"hotel bilal khana khazana Restaurant, Vidhyadhar Nagar",https://www.zomato.com/jaipur/hotel-bilal-khana-khazana-vidhyadhar-nagar,300,"North Indian, Mughlai",3.6,46," 23, Old Vidhyadhar Nagar, Vidhyadhar Nagar, Jaipur"
