name,link,cost for 2,cuisines,ratings,reviews,address
"sais Restaurant, Eshwar Nagar",https://www.zomato.com/manipal/sais-eshwar-nagar,500,"Biryani, North Indian, Chinese, Seafood, Desserts",4.1,226," Oppsite Syndicate Bank Head Office, Tiger Circle, Manipal, Eshwar Nagar, Manipal"
"dominos pizza Restaurant, Vidyaratna Nagar",https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar,400,"Pizza, Fast Food",4.0,157," 4-1A5, Premier Enclave, Ground Floor, Near Syndicate Circle, Manipal"
"grub monkeys Restaurant, Vidyaratna Nagar",https://www.zomato.com/manipal/grub-monkeys-vidyaratna-nagar,500,Cafe,4.0,194," Pratham Pride Bulding, East Point Road, Vidyaratna Nagar, Manipal"
"laughing buddha Restaurant, Vidyaratna Nagar",https://www.zomato.com/manipal/the-laughing-buddha-vidyaratna-nagar,700,Chinese,3.7,264," 7th Heaven, Perampalli Road, Near Shambavi Circle, Vidyaratna Nagar, Manipal"
"mcdonalds Restaurant, Eshwar Nagar",https://www.zomato.com/manipal/mcdonalds-eshwar-nagar,500,"Burger, Fast Food",4.0,237," Canara Mall, Mainpal Road, Eshwar Nagar, Manipal"
"hadiqa Restaurant, Eshwar Nagar",https://www.zomato.com/manipal/hadiqa-eshwar-nagar,250,Continental,4.2,175," Behind TMA Pai, Smrithi Bhavan, Eshwar Nagar, Manipal"
"dollops Restaurant, Eshwar Nagar",https://www.zomato.com/manipal/dollops-eshwar-nagar,400,"North Indian, South Indian, Chinese",4.0,266," Manipal Main Road, Near Tiger Circle, Eshwar Nagar, Manipal"
"bacchus inn Restaurant, Vidyaratna Nagar",https://www.zomato.com/manipal/bacchus-inn-vidyaratna-nagar,500,"Biryani, North Indian, Seafood, Chinese, Beverages",4.0,196," VP Nagar, Manipal Main Road, Vidyaratna Nagar, Manipal"
"madhuvan veg Restaurant, Eshwar Nagar",https://www.zomato.com/manipal/madhuvan-veg-eshwar-nagar,300,"North Indian, Biryani, Chinese, Burger",4.0,223," 1st floor, Madhuvan Serai Building, Near Tiger Circle, Eshwar Nagar, Manipal"
"kfc Restaurant, Vidyaratna Nagar",https://www.zomato.com/manipal/kfc-vidyaratna-nagar,450,"Fast Food, Burger",3.7,216," Sri Lakshmi Submit, Mainpal Main Road, Vidyaratna Nagar, Manipal"
"planet cafe Restaurant, Vidyaratna Nagar",https://www.zomato.com/manipal/planet-cafe-vidyaratna-nagar,500,"North Indian, Street Food, Burger, Cafe, Biryani",3.8,216," Permier Court Blue Waters East point Road, Manipal"
"hotel shubham Restaurant, Eshwar Nagar",https://www.zomato.com/manipal/hotel-shubham-eshwar-nagar,450,"Biryani, Chinese, North Indian",4.0,232," Near Manipal Liquor House, Eshwar Nagar, Manipal"
"barbeque nation Restaurant, Vidyaratna Nagar",https://www.zomato.com/manipal/barbeque-nation-vidyaratna-nagar,"1,200","European, Kebab, Mediterranean, North Indian",4.0,369," Central Cinemas, Laxmindra Nagar, Udupi Main Road, Vidyaratna Nagar, Manipal"
"eye tiger Restaurant, Eshwar Nagar",https://www.zomato.com/manipal/eye-of-the-tiger-1-eshwar-nagar,750,"Chinese, Continental, Finger Food",3.9,202," Academy Towers, Tiger Circle, , Manipal"
"woodlands restaurant Restaurant, Maruthi Veethika",https://www.zomato.com/manipal/woodlands-restaurant-maruthi-veethika,600,"North Indian, South Indian",4.0,262," Dr UR Rao Complex, Near Shree Krsihna Mutt, Thenkapet, Maruthi Veethika, Udupi"
"umami kitchen Restaurant, Vidyaratna Nagar",https://www.zomato.com/manipal/umami-kitchen-3-vidyaratna-nagar,450,"North Indian, Chinese",3.2,9," 3rs Cross Sapthagiri Nagar, Geeta House, Near Music Corner, Manipal"
"mic canteen Restaurant, Eshwar Nagar",https://www.zomato.com/manipal/mic-canteen-eshwar-nagar,150,"South Indian, North Indian, Beverages",3.3,6," Near Udayavani, MIC Campus, Eshwar Nagar, Manipal"
