name,link,cost for 2,cuisines,ratings,reviews,address
"swaaddesh Restaurant, Sri Krishnapuri",https://www.zomato.com/patna/swaaddesh-sri-krishnapuri,700,"North Indian, Chinese, Beverages",4.5,866," 2nd Floor, Chandra Complex, Above Manyavar, Boring Road, Sri Krishnapuri, Patna"
"harilals Restaurant, Kankarbagh",https://www.zomato.com/patna/harilals-kankarbagh,200,"Mithai, Street Food",4.3,835," PC Colony, Gaytri Mandir, Patrakar Nagar, Kankarbagh Road, Kankarbagh, Patna"
"dominos pizza Restaurant, Kankarbagh",https://www.zomato.com/patna/dominos-pizza-kankarbagh,400,"Pizza, Fast Food",4.0,1717," DS-22, Jagdeva Plaza, Lohia Nagar, Main Road, Kankarbagh, Patna"
"pukhtaan royal taste india Restaurant, Fraser Road Area",https://www.zomato.com/patna/pukhtaan-the-royal-taste-of-india-fraser-road-area,"1,500","Mughlai, Awadhi, Chinese, North Indian",4.0,558," 5th Floor, Nutan Plaza, Bander Bagicha, Fraser Road Area, Patna"
"hungry hope Restaurant, Kankarbagh",https://www.zomato.com/patna/hungry-hope-kankarbagh,300,"North Indian, Chinese, Biryani, Rolls",3.8,897," Shila Ram Complex, Kankarbagh, Patna"
"kfc Restaurant, Kankarbagh",https://www.zomato.com/patna/kfc-kankarbagh,450,"Fast Food, Burger",4.3,1099," 367, Ground Floor, Radhey Shree Main Road, Kankarbagh Patna"
"pizza hut Restaurant, Rajendra Nagar",https://www.zomato.com/patna/pizza-hut-rajendra-nagar,600,"Pizza, Desserts, Fast Food",2.8,708," Plot 15A, Sri Ram Enclave, Arya Kumar Road, Rajendra Nagar, Patna"
"foresto paradise Restaurant, Fraser Road Area",https://www.zomato.com/patna/foresto-paradise-fraser-road-area,"1,100","North Indian, Chinese, Continental",4.9,1120," 8th Floor, Patna One Mall, Fraser Road, Patna"
"indian summer cafe Restaurant, Golambar",https://www.zomato.com/patna/indian-summer-cafe-1-golambar,800,"North Indian, Cafe, Healthy Food",4.4,734," Satya Narain Building, Exhibition Road, Opposite Pillar 7, Golambar, Patna"
"biryani house Restaurant, Golambar",https://www.zomato.com/patna/biryani-house-golambar,300,"Biryani, Mughlai",3.7,1018," Exhibition Road, Salimpur Ahra, Behind HDFC Bank, Golambar, Patna"
"chandan hotel Restaurant, Golambar",https://www.zomato.com/patna/chandan-hotel-golambar,300,"North Indian, Chinese, Fast Food",3.8,1373," Beside ICICI Bank, Exhibition Road, Golambar, Patna"
"basant vihar Restaurant, Fraser Road Area",https://www.zomato.com/patna/basant-vihar-fraser-road-area,600,"South Indian, North Indian, Fast Food, Street Food",4.4,730," 1st Floor, Maurya Lok Complex, Fraser Road Area, Patna"
"lazeez Restaurant, Patliputra Colony",https://www.zomato.com/patna/lazeez-patliputra-colony,800,"North Indian, Mughlai",4.1,786," Ground Floor, Virantala Tower, Opposite Polytechnic College, Next to Nexa, Patliputra Colony, Patna"
"blue moon Restaurant, Sri Krishnapuri",https://www.zomato.com/patna/blue-moon-sri-krishnapuri,300,"Chinese, Rolls, North Indian, Biryani, Fast Food, Beverages",4.1,822," Jaiprakash Path, Sri Krishnapuri, Patna"
"biryani mall Restaurant, Fraser Road Area",https://www.zomato.com/patna/the-biryani-mall-fraser-road-area,600,"Biryani, Mughlai, Chinese",4.1,1539," Near Radio Station And Patna Central Mall, Fraser Road Area, Patna"
"biryani pocket Restaurant, Khajpura",https://www.zomato.com/patna/biryani-pocket-khajpura,200,Biryani,NEW,," Friends Colony, Ashiyana Digha Road, Khajpura, Patna"
"central kitchen Restaurant, Golambar",https://www.zomato.com/patna/the-central-kitchen-golambar,650,"South Indian, North Indian, Chinese",3.5,19," Ground Floor, Biscomaun Towers, Near Gandhi Maidan, Golambar, Patna"
"champaran bhojnalaya Restaurant, Sri Krishnapuri",https://www.zomato.com/patna/champaran-bhojnalaya-sri-krishnapuri,250,"Biryani, Chinese, North Indian",3.5,29," S.K Puri, Opp. Krishna Apartment, Boring Road, Sri Krishnapuri, Patna"
"garam masala Restaurant, Kankarbagh",https://www.zomato.com/patna/garam-masala-kankarbagh,300,"North Indian, Chinese, South Indian, Biryani",3.5,26," K 25, E K Sector, Park Road, Hanuman Nagar, Kankarbagh, Patna"
"dyanas restaurant Restaurant, Hajipur",https://www.zomato.com/patna/dyanas-restaurant-hajipur,500,North Indian,3.3,25," Cine Krishna Mall, Boobna Plaza Campus, Cinema Road, Hajipur, Patna"
"new china garden Restaurant, Kurji",https://www.zomato.com/patna/new-china-garden-kurji,600,"Chinese, North Indian, South Indian",3.6,21," 3rd Floor, P&M Mall, Patliputra Industrial Area, Digha Ghat, Patna"
"biryani kabab mahal Restaurant, Mithapur",https://www.zomato.com/patna/biryani-kabab-mahal-mithapur,250,"Chinese, North Indian",3.4,17," Saroj Complex, Infront Of Nift, Mithapur, Patna"
"shor city Restaurant, Patliputra Colony",https://www.zomato.com/patna/shor-in-the-city-patliputra-colony,400,"North Indian, Chinese",3.4,14," Rajeev Nagar, Road 23 Corner, Patliputra Colony, Patna"
"everyday meal Restaurant, Khajpura",https://www.zomato.com/patna/everyday-meal-khajpura,350,"North Indian, Fast Food",3.3,14," Opposite Pillar 24, Ambition Sapphire, Below Reliance Trends, Khajpura, Patna"
"jalandhar city family Restaurant, Phulwari Sharif",https://www.zomato.com/patna/jalandhar-city-family-phulwari-sharif,800,North Indian,3.3,25," Kalyan Bhawan, Below Allahabad Bank, Jagdeo Path, Bailey Road, Phulwari Sharif, Patna"
"rock fast food Restaurant, Khajpura",https://www.zomato.com/patna/the-rock-fast-food-3-khajpura,250,Fast Food,3.5,22," Main Road, Takiyapar, Near SBI ATM, Danapur, Khajpura, Patna"
"south indian biryani food Restaurant, Kankarbagh",https://www.zomato.com/patna/south-indian-and-biryani-food-kankarbagh,200,"South Indian, Biryani, North Indian",3.3,14," Shop 23, Opposite Vishal Mega Mart, Vijayaman Apartment Basement, Kankarbagh, Patna"
"highway restaurant Restaurant, Phulwari Sharif",https://www.zomato.com/patna/the-highway-restaurant-phulwari-sharif,700,"North Indian, Chinese, South Indian",NEW,," Near BMP 16, Khaugal Road, Phulwari Sharif, Patna"
"chinese capsicum Restaurant, Sri Krishnapuri",https://www.zomato.com/patna/chinese-capsicum-sri-krishnapuri,100,"Chinese, Continental",3.5,14," AMS Park Building, Boring Road Chauraha, Near Heera Panna Jwellers, Sri Krishnapuri, Patna"
