name,link,cost for 2,cuisines,ratings,reviews,address
"royal chinese center Restaurant, Wagholi",https://www.zomato.com/pune/royal-chinese-center-wagholi,300,Chinese,3.1,8," Shop 6, Priyanka Market, Near Ivy Estate, Wagholi, Pune"
"shree bhel Restaurant, Warje",https://www.zomato.com/pune/shree-bhel-warje,150,Sandwich,3.1,9," Shop 6, Prestige Point, Near RMD College, Warje, Pune"
"fusion treat Restaurant, Karve Nagar",https://www.zomato.com/pune/fusion-treat-1-karve-nagar,300,"Chinese, Fast Food, Continental",3.1,4," Shop 4, Shahu Colony, Lane 4, Near Cummins College, Karve Nagar, Pune"
"radha krushna Restaurant, Sinhgad Road",https://www.zomato.com/pune/radha-krushna-sinhgad-road,600,"North Indian, South Indian, Chinese",3.1,144," Destination Center, Nanded City, Sinhgad Road, Pune"
"dabbawala Restaurant, Model Colony",https://www.zomato.com/pune/dabbawala-model-colony,300,"North Indian, Maharashtrian",3.1,131," 22, Anand Housing Society, Near Om Super Market Chowk, Model Colony, Pune"
"nisarg garden dhaba Restaurant, Katraj",https://www.zomato.com/pune/nisarg-garden-dhaba-katraj,450,North Indian,3.1,9," Katraj Ghat Road, Bhilarewadi, Katraj, Pune"
"hotel saffron Restaurant, Wakad",https://www.zomato.com/pune/hotel-saffron-wakad,700,"North Indian, Chinese",3.1,16," 270/9/1, Shelge Wasti, Sahara Chowk, Wakad, Pune"
"chai smith Restaurant, Kothrud",https://www.zomato.com/pune/chai-smith-kothrud,200,"Beverages, Fast Food",3.1,6," Shop 1, Sai Sayaji Corner, Oppoaite Vanaz Corner, Paramhans Nagar, Kothrud, Pune"
"sonai restaurant Restaurant, Wagholi",https://www.zomato.com/pune/sonai-restaurant-wagholi,700,"North Indian, Chinese, Seafood, Beverages",3.1,6," Inside Post Tal Haveli, Wagholi, Pune"
"ashwinis biryani Restaurant, Kothrud",https://www.zomato.com/pune/ashwinis-biryani-kothrud,400,Biryani,3.1,7," Shop 1, Paeijat Colony, Azadnagar, Kothrud, Pune"
"satvik veg non veg family restaurant Restaurant, Hadapsar",https://www.zomato.com/pune/satvik-veg-non-veg-family-restaurant-hadapsar,800,"North Indian, Chinese",3.1,14," 229/100/2, Opposite Janseva Bank, Pune Solapur Road, Hadapsar, Pune"
"mh09 taste kolhapur Restaurant, Magarpatta",https://www.zomato.com/pune/mh09-the-taste-of-kolhapur-magarpatta,400,Maharashtrian,3.1,10," BG 36, Ground Floor, Destination Center, Magarpatta City, Magarpatta, Pune"
"shake 24 Restaurant, Kharadi",https://www.zomato.com/pune/shake-24-kharadi,350,"Beverages, Fast Food, Burger, Sandwich",3.1,6," Pathare Complex, Somnath Mala, Colande Road, Opposite Chandan Furniture, Tukaram Nagar, Kharadi, Pune"
"hotel hungry birds Restaurant, Hinjawadi",https://www.zomato.com/pune/hotel-hungry-birds-1-hinjawadi,500,"North Indian, Chinese, South Indian, Fast Food, Maharashtrian, Street Food, Beverages",3.1,24," Shop 5-8, Laxmi Chowk, Near Gurukrupa Hospital, Marunji Road, Hinjawadi, Pune"
"suruchi restaurant Restaurant, Hadapsar",https://www.zomato.com/pune/suruchi-restaurant-hadapsar,700,"North Indian, Chinese, Seafood",3.1,16," 163, Bhosale Garden, Arun Nagar, Pune - Solapur Road, Hadapsar, Pune"
"tasty time Restaurant, Hinjawadi",https://www.zomato.com/pune/tasty-time-hinjawadi,300,"Fast Food, Chinese",2.9,18," Near Morya Washing Centre, Maan Road, Hinjawadi, Pune"
"copper Restaurant, Yerawada",https://www.zomato.com/pune/copper-yerawada,500,"Chinese, North Indian, Maharashtrian",2.9,32," Sainik Vasahat, Near IBM, Yerwada, Pune"
"aromas biryani house Restaurant, Sinhgad Road",https://www.zomato.com/pune/aromas-biryani-house-sinhgad-road,400,Biryani,2.9,13," Arya Commercial, Opposite Sankalp Business School, Sinhagad Institute, Vadgaon Budruk, Sinhgad Road, Pune"
"hotel golden Restaurant, Swargate",https://www.zomato.com/pune/hotel-golden-swargate,350,"North Indian, Chinese, Maharashtrian",2.9,4," 18, Ghorpadi Peth, Momin Pura, Swargate, Pune"
"hotel maharaja Restaurant, Hinjawadi",https://www.zomato.com/pune/hotel-maharaja-hinjawadi,450,"North Indian, Chinese, Maharashtrian",2.9,21," Opposite Shell Petroleum, Panchratna Nagar, Hinjawadi, Pune"
"maharani veg nonveg Restaurant, Viman Nagar",https://www.zomato.com/pune/maharani-veg-nonveg-viman-nagar,350,"North Indian, Chinese, South Indian",2.9,5," Shop 1, Alfa Premio Building, Datta Mandir Chowk, Viman Nagar, Pune"
"mummys kitchen Restaurant, Khadki",https://www.zomato.com/pune/mummys-kitchen-khadki,250,"Street Food, South Indian, North Indian",2.9,4," Shop 1,Shanta Niketan, Bhau Patil Road, Bopodi, Near Pune IT Park, Khadki, Pune"
"regal biryani Restaurant, Pimpri",https://www.zomato.com/pune/regal-biryani-pimpri,400,"Biryani, Kebab",2.9,74," D-28, Stone Ridge Apartments, Near Pimple Saudagar Bridge, Pimpri, Pune"
"g kitchens Restaurant, Hinjawadi",https://www.zomato.com/pune/a-g-kitchens-hinjawadi,400,North Indian,2.9,117," Shop 1, Abai Complex, Mukai Nagar, Marunji Road, Rajiv Gandhi Infotech Park, Phase 1, Hinjawadi, Pune"
"cafe katta Restaurant, Chandan Nagar",https://www.zomato.com/pune/cafe-katta-chandan-nagar,200,"Pizza, Fast Food, Beverages",2.9,14," Shop 3, Sagar Park, Near Water Tank, Chandan Nagar, Pune"
"hotel park Restaurant, Dhankawadi",https://www.zomato.com/pune/hotel-park-dhankawadi,400,"North Indian, Chinese",2.9,12," Trimurti Chowk, Near Bharti Vidyapith, Dhankawadi, Pune"
"new modern bakery Restaurant, Pimple Nilakh",https://www.zomato.com/pune/new-modern-bakery-pimple-nilakh,200,Bakery,2.9,5," Near Datta Mandir, Opposite Saraswat Bank, Vishal Nagar, Jagtap Dairy, Pimple Nilakh, Pune"
"orien chinese Restaurant, Wagholi",https://www.zomato.com/pune/orien-chinese-wagholi,300,Chinese,2.9,4," Saraswati Market, Opposite Life Line Hospital, Wagholi, Pune"
"cara barbecue biryani Restaurant, Magarpatta",https://www.zomato.com/pune/cara-barbecue-biryani-magarpatta,450,"North Indian, Biryani",2.9,5," S 141, Opposite Magarpatta Main Gate, Near Magarpatta Petrol Pump, Magarpatta, Pune"
"aks kitchen Restaurant, Hadapsar",https://www.zomato.com/pune/aks-kitchen-hadapsar,350,"North Indian, Chinese",2.9,5," 53/8/1, Opposite Dreams Akruti, Kale Padal, Hadapsar, Pune"
"indian barbecue grill Restaurant, Lohegaon",https://www.zomato.com/pune/indian-barbecue-grill-lohegaon,"1,000","Chinese, North Indian, European",3.7,24," Shop 5, Ground Floor, A Wing, Goodwill Metropolis, Lohegaon, Pune"
"ice bergs Restaurant, Model Colony",https://www.zomato.com/pune/ice-bergs-model-colony,150,"Beverages, Ice Cream",3.7,39," Eden Hall, Opposite Om Super Market, Model Colony, Pune"
"bombay milkshake factory Restaurant, Viman Nagar",https://www.zomato.com/pune/the-bombay-milkshake-factory-viman-nagar,400,Beverages,3.7,60," Plot 104, House 18, Gulmohar Galaxy Apartment, Viman Nagar, Pune"
"chefs pan Restaurant, Baner",https://www.zomato.com/pune/chefs-pan-baner,350,"Fast Food, Italian, Beverages",3.7,388," Main Baner Road, Dutta Mandir Chowk, Near Prime Rose Mall, Baner, Pune"
"bits bytes Restaurant, Kothrud",https://www.zomato.com/pune/bits-bytes-kothrud,350,"Fast Food, North Indian",3.7,249," Shop 5, Ideal Chambers, Ideal Colony, Paud Road, Kothrud, Pune"
"burger katta Restaurant, Pimple Saudagar",https://www.zomato.com/pune/burger-katta-pimple-saudagar,450,"Cafe, Fast Food, Burger, Desserts, Sandwich, Beverages",3.7,76," Near Vijay Sales, Rahatani Road, Pimple Saudagar, Pune"
"shree krishna palace Restaurant, Dhole Patil Road",https://www.zomato.com/pune/shree-krishna-palace-dhole-patil-road,600,"North Indian, South Indian, Chinese, Beverages, Desserts",3.7,48," 15, Sasoon Road, Dhole Patil Road, Pune"
"wok box Restaurant, Viman Nagar",https://www.zomato.com/pune/the-wok-box-viman-nagar,400,"Chinese, Fast Food",3.7,395," Survey 235, Shop 256, Plot 16, Serial 235, Sanjay Park, Viman Nagar, Pune"
"brihat Restaurant, Balewadi",https://www.zomato.com/pune/brihat-balewadi,400,Maharashtrian,3.7,52," Opposite NICMAR College, Balewadi, Pune"
"spicy biryani rolls Restaurant, Viman Nagar",https://www.zomato.com/pune/spicy-biryani-rolls-viman-nagar,400,"Rolls, Biryani",3.7,71," Sanjay Park, Darshan Lane 05, New Air Port Road, Viman Nagar, Pune"
"fusion cafe Restaurant, Pimple Nilakh",https://www.zomato.com/pune/fusion-cafe-1-pimple-nilakh,200,"Coffee, Continental, Beverages",3.7,47," Survey 24/2/1, Tukaram Complex, Vishal Nagar, Pimple Nilakh, Pune"
