name,link,cost for 2,cuisines,ratings,reviews,address
"prasang dhosa Restaurant, Nana Varachha",https://www.zomato.com/surat/prasang-dhosa-1-nana-varachha,200,South Indian,3.3,26," 100, Ishwer Krupa Society, Nana Varachha, Surat, Gujarat 395006, India"
"kamal chinese food Restaurant, Piplod",https://www.zomato.com/surat/kamal-chinese-food-piplod,200,"Chinese, Fast Food",3.3,17," Shop 5, Prapti Apartments, Opposite Prashiddhi Apartments, Near Pragati Nagar, Piplod, Surat"
"jain food Restaurant, Udhna Gam",https://www.zomato.com/surat/jain-food-udhna-gam,200,"North Indian, Rajasthani",3.3,29," G3 Tirupati Market, Ring Road, Surat"
"shawarma shop Restaurant, Piplod",https://www.zomato.com/surat/the-shawarma-shop-piplod,200,Fast Food,3.3,12," Near Haveli Temple, Opposite Ford Showroom, IBC Building, Dumas Road, Piplod, Surat"
"shree kal chinese pavbhaji Restaurant, Kamrej",https://www.zomato.com/surat/shree-kal-chinese-and-pavbhaji-kamrej,200,Chinese,3.3,17," Bapa Sitaram Chowk, Kamrej, Surat"
"bakebon Restaurant, Piplod",https://www.zomato.com/surat/bakebon-piplod,200,Bakery,3.3,14," 51, Devip Society, Near Coffee Culture, Opposite Sargaam Shopping Center, Parle Point, Dumas Road, Piplod, Surat"
"shree bharkadevi ice cream Restaurant, Dindoli",https://www.zomato.com/surat/shree-bharkadevi-ice-cream-dindoli,150,"Desserts, Beverages, Ice Cream",3.3,11," Plot No.2, Umiya nagar, Navagam, Dindoli road, udhna, surat"
"ocean star Restaurant, City Light",https://www.zomato.com/surat/ocean-star-city-light,400,"North Indian, Chinese",3.3,16, Delivery Only
"amardeep ice cream juice center Restaurant, Amroli",https://www.zomato.com/surat/amardeep-ice-cream-juice-center-amroli,150,"Desserts, Juices",3.3,25," 28, Samarth Park, Chhaprabhata Road, Amroli, Surat"
"wooddy jhones pizza Restaurant, Nana Varachha",https://www.zomato.com/surat/wooddy-jhones-pizza-nana-varachha,400,Pizza,3.3,17," 1st Floor, Utsav Building, Oppossite Varachha Chopati, Varachha Main Road, Nana Varachha, Surat"
"madras dhosa center Restaurant, Vesu",https://www.zomato.com/surat/madras-dhosa-center-vesu,200,South Indian,3.3,12," A/16-17, B/16-17, G.F. Aagam Viviama, Opposite Pheonix Tower, Vesu, Surat"
"sm kulfi Restaurant, Althan Bhatar",https://www.zomato.com/surat/sm-kulfi-althan-bhatar,150,Desserts,3.3,16," 11 D Sai Ashish Society, Near Bread Liner Circle,  Surat, Althan Bhatar, Surat"
"popular restaurant Restaurant, Kavas",https://www.zomato.com/surat/popular-restaurant-kavas,200,"South Indian, North Indian, Chinese",3.3,14," Plot 1, 2, 3, Ambika Nagar, Near Axis Bank, Ichchhapore, Choryasi, Kavas, Surat"
"rajubhai alupuri khavsa center Restaurant, Adajan Gam",https://www.zomato.com/surat/rajubhai-alupuri-and-khavsa-center-adajan-gam,100,Fast Food,3.3,16," Opposite Cng Pump, Near Sahaj Super Store, Adajan Gam, Surat"
"food corner Restaurant, Salabatpura",https://www.zomato.com/surat/food-corner-salabatpura,200,Chinese,3.3,20," 4/3653-3654, G.F Viramgami Street, Begampura, Salabatpura, Surat"
"yadgar tandoori chicken mamna Restaurant, Chowk Bazaar",https://www.zomato.com/surat/yadgar-tandoori-chicken-and-mamna-chowk-bazaar,250,North Indian,3.1,11," Opposite SN Sons, Near Saliya Market, Chara Bazar Gali, Zampa Bazar, Chowk Bazaar, Surat"
"famous food cafe Restaurant, Kamrej",https://www.zomato.com/surat/famous-food-cafe-kamrej,250,Fast Food,3.1,6," G-3, Devkrupa Complex, Near Laxmikant Bunglows, Kamrej, Surat"
"shree ganesh nasta center Restaurant, Jahangir Pura",https://www.zomato.com/surat/shree-ganesh-nasta-center-jahangir-pura,150,"North Indian, South Indian, Maharashtrian",3.1,6," Shop 8, Vaishnodevi Heights, Canal road, Jahangir Pura, Surat"
"radhe snacks Restaurant, Mota Varachha",https://www.zomato.com/surat/radhe-snacks-mota-varachha,250,Fast Food,3.1,11," 6, Gopinath Complex-A, Lajamni Chowk, Mota Varachha, Surat"
"tiku khaman house Restaurant, Athwa",https://www.zomato.com/surat/tiku-khaman-house-athwa,200,Street Food,3.1,10," 4, Swastik Flats, Opp. Ambikcain Ketan Temple, Parle Point, Surat"
"jalaram food Restaurant, Kavas",https://www.zomato.com/surat/jalaram-food-kavas,200,Fast Food,3.1,6," A15, Jyoti Timber, Gangeshwar Nagar, Ichhapor 3, Hazira Road, Kavas, Surat"
"volga restaurant Restaurant, New Textile Market",https://www.zomato.com/surat/volga-restaurant-new-textile-market,500,North Indian,3.1,8," Sufibaugh Station Road, New Textile Market, Surat"
"khodiyar farsan Restaurant, Vesu",https://www.zomato.com/surat/khodiyar-farsan-vesu,100,Gujarati,3.1,6," G/9, Rudram Avenue, Opposite Pani Ki Tanki, Opposite Suman Sail, Old Suda, Vesu, Surat"
"top taste Restaurant, Althan Bhatar",https://www.zomato.com/surat/top-taste-althan-bhatar,150,Fast Food,3.1,5," G-24, Atlanta Shopping Mall, Althan Canal Road, Althan Bhatar, Surat"
"one chinese Restaurant, Chowk Bazaar",https://www.zomato.com/surat/a-one-chinese-chowk-bazaar,200,Chinese,3.1,10," Near Congress Bhavan Gali, Chowk Bazaar, Surat"
"maruti dhosa chinese Restaurant, Amroli",https://www.zomato.com/surat/maruti-dhosa-and-chinese-amroli,250,"South Indian, Chinese",3.1,7," Maan Sarovar Circle, Hazira-Sayan Road, Beside Jalaram Petrolium, Amroli, Surat"
"kumar n spice Restaurant, Kamrej",https://www.zomato.com/surat/kumar-n-spice-kamrej,100,Fast Food,3.1,4," Bhikhubhai Compound, Navagam, Kamrej Char Rasta, Kamrej, Surat"
"sweet pleasure foods Restaurant, Adajan Patiya",https://www.zomato.com/surat/sweet-pleasure-foods-adajan-patiya,300,"Pizza, Fast Food, Beverages",3.1,5," Shope 15, Shopping Centre, Near Gujarat Gas Circle, Muktanand Nagar, Adajan Patiya, Surat"
"hungry bites Restaurant, Gopipura",https://www.zomato.com/surat/hungry-bites-gopipura,200,"Fast Food, Street Food",3.1,5," 3/989, Near al-jamiya tus safiyah, Zampa bazar, surat"
"house eggs Restaurant, City Light",https://www.zomato.com/surat/house-of-eggs-city-light,300,Street Food,3.1,5," Shop 3, Lower Ground Floor, Tp 4, Ascon City, Opposite Oscar Appartment, City Light Soc road, Surat"
"dr fine dine Restaurant, Varachha",https://www.zomato.com/surat/dr-fine-dine-varachha,500,"North Indian, Fast Food, Biryani, Chinese, Beverages",3.8,56," 101, First Floor, Deepkamal 2, Near Sarthana Zoo, Varachha, Surat"
"khatta mittha Restaurant, Rander",https://www.zomato.com/surat/khatta-mittha-rander,500,"North Indian, Fast Food, Biryani",3.8,128," Shop 4, Near Vijay Dairy, Palanpur Patiya, Rander Road, Rander, Surat"
"spice heritage Restaurant, Vesu",https://www.zomato.com/surat/spice-heritage-3-vesu,850,"North Indian, Biryani, Chinese",3.8,129," U 1, E Space, Near Bhagwan Mahavir College,VIP Road, Vesu, Surat"
"china valley Restaurant, Adajan Gam",https://www.zomato.com/surat/china-valley-adajan-gam,400,Chinese,3.8,185," Next to Jalaram Temple,  Adajan Road, Adajan Gam, Surat"
