name,link,cost for 2,cuisines,ratings,reviews,address
"sankalp Restaurant, Fatehgunj",https://www.zomato.com/vadodara/sankalp-fatehgunj,600,South Indian,3.2,102," Plaza Complex, Opposite Saffron Building, Fatehgunj, Vadodara"
"anjoy family restaurant Restaurant, Alkapuri",https://www.zomato.com/vadodara/anjoy-the-family-restaurant-alkapuri,600,"North Indian, Chinese, Maharashtrian",3.5,113," Jetalpur Road, Alkapuri, Vadodara"
"tandoori flames Restaurant, Nizampura",https://www.zomato.com/vadodara/tandoori-flames-nizampura,400,"North Indian, Chinese",3.8,104," Siddharth Elegance, Above Zummerwala TVS Show Room, Chhani Main Road, Nizampura, Vadodara"
"italian food hub Restaurant, Akota",https://www.zomato.com/vadodara/the-italian-food-hub-akota,250,"Italian, Pizza, Fast Food",3.9,76," Sukrutinagar Diwalipur, Akota, Vadodara"
"ziiro restaurant cafe Restaurant, Kendranagar",https://www.zomato.com/vadodara/ziiro-restaurant-cafe-kendranagar,500,"Fast Food, Beverages, Pizza, Sandwich",3.6,97," Uma Char Rasta, Waghodia Road, Kendranagar, Vadodara"
"mp 09 zayka indore ka Restaurant, Gotri",https://www.zomato.com/vadodara/mp-09-zayka-indore-ka-gotri,250,Chinese,3.6,140," BFG-11, Signite Plaza, Krunal Char Rasta, Gotri, Vadodara"
"pizza palace Restaurant, Alkapuri",https://www.zomato.com/vadodara/pizza-palace-alkapuri,400,Pizza,4.0,134," 101 , above samrat store behind bheemnath temple under jetalpur bridge.  Sayajigunj  vadodara"
"24 carats hotel express towers Restaurant, Alkapuri",https://www.zomato.com/vadodara/24-carats-hotel-express-towers-alkapuri,800,"North Indian, Chinese, Continental",3.8,106," Hotel Express Towers, R.C. Dutt Road, Alkapuri, Vadodara"
"yummy frankie Restaurant, Fatehgunj",https://www.zomato.com/vadodara/yummy-frankie-fatehgunj,100,Street Food,3.6,175," Beside Anjali Restaurant, Fatehgunj, Vadodara"
"bombay vadapav Restaurant, Alkapuri",https://www.zomato.com/vadodara/bombay-vadapav-alkapuri,100,Street Food,3.8,132," Shop 41, Bombay Shopping Centre, Near Race Course Circle, Alkapuri, Vadodara"
